art,t,bpm,g,ln,s
CHiCO with HoneyWorks,Historia,184,5,3,431625
Feint,Watch Me,174,10,5,548833
TUYU,Dorei Janai nara Nan Desu ka?,117,5,3,1519920
Itou Kanako,Dramatique?,139,2,2,122263
Sakakibara Yui,Renai 0 Kilometer (Short Ver.),170,2,3,37945
Kawada Mami,Wings of Courage -Sora o Koete-,160,3,3,205095
Itowokashi,Kanadeai,192,3,3,949903
Tame Impala,Let It Happen,125,10,2,1253339
Creative Life,I'm Screaming LOVE,147,2,3,71143
BLANKFIELD,Retrospective City,220,11,5,1120645
Sawai Miku,Colorful. (TV Size),153,3,3,1286203
ChouCho,Happy Fate,144,3,3,408807
Halozy,Kagami,130,2,3,1517924
FLOW,Niji no Sora (TV Size),191,3,3,746030
-45,Midorigo Queen Bee,153,2,5,812792
ONE OK ROCK,20/20,165,4,2,608415
hapi,NTD03 ''26ROAD'' (Full Edit),180,2,5,23667
TWICE,What is Love?,170,5,6,816770
Bronco (El Gigante de America),Chocheman,122.98,7,10,9440
cYsmix,Manic,150,2,5,361175
Girls' Generation,GENIE (Japanese Ver.),123,5,3,20324
Thalia,Arrasando,132,5,10,1930803
Marika,Knowing short ver.,140,2,3,146780
cYsmix,Flan in Wonderland,147,2,5,61848
Three feat. Kagamine Len,Ego Rock,225,4,3,972812
Miqz,Sound of My Dream,140,10,2,825507
Stray Kids,TOP -Japanese ver.- (TV Size),98,3,3,1150628
KOTOKO,agony,132.03,3,3,302
ZAQ,VOICE (TV Size),184,3,3,138330
Persona,Realize,181,2,3,1021956
Rocket Sister,Blackout (Cut Ver.),200,4,2,1070184
OLDCODEX,Deal with (TV Size),152,3,3,1646898
MisoilePunch,VVelcome!!,265,10,5,1235627
Kurosaki Maon,Memories Last (TV size.),173,3,3,199371
Ikimonogakari,Blue Bird,152,3,3,1067064
Mutsuhiko Izumi,Green Green Dance (Long Version),165,2,5,34896
yanaginagi,Haru Modoki,174,3,3,300093
tsunamix_underground,Period. ~ Seishin no Kousoku to Jiyuu o Tsukamu Jouka,150,2,5,223092
SCREEN mode,LOVEST(TV Size Ver.),180,3,3,203138
Tomoya Ohtani,HIS WORLD (Instrumental),178,2,5,76810
Paramore,Still Into You (Sped Up & Cut Ver.),166,5,2,1060207
Rameses B,Timeless ft. Veela,175,10,2,300330
Ayakura Mei + mican*,Saigetsu,140,2,3,21202
Hanasaka Yui (CV: M.A.O),Aozora Morning Glory (TV Size),138,3,3,808138
Kamiyama Yoh,Irokousui (TV Size),148,5,3,1344883
"amekudeku, mlvine, Scandal",MP3,160,10,12,1927238
CircusP,Copycat,137,10,2,1176418
schoolboy,testo,180.25,9,14,1033999
Doubutsu Biscuits,Youkoso Japari Park e (Xmas ver.),101,3,3,1901325
kors k feat.Yoshikawa Sunao,7 Colors,156,2,3,148397
ITO KASHITARO,Yume Chizu,180,4,3,690977
Owl City,Beautiful Times (feat. Lindsey Stirling),68,5,2,172788
Tapimiru,Hakkensha wa Watashi (TV Size),175,3,3,777733
meiko,AOI-IRO STEP,190,4,3,262411
Taeyang feat. G-Dragon,I Need a Girl,115,5,6,19089
M2U,PandorA,160,10,5,836894
Thaehan,Help,196,10,5,630407
sajou no hana,Tentou (TV Size),197,5,3,1813053
ALiCE'S EMOTiON,Be Back ON!,195,2,3,135778
Kanpyohgo,Reichi no Taiyou Shinkou -Nuclear Fusion- Hardcore.edt,172,2,5,1811874
Bird Bear Hare and Fish,Laika (TV Size),148,3,3,1044688
Hatsune Miku,Parade of Liars,200,4,3,21926
ALTIMA,Fight 4 Real (TV Size),148,3,3,143761
mafumafu,Envy Baby,171,5,3,1412697
LiLA'c Records,Existence value and Firm faith feat.irony,145,10,3,45436
Nakaya Sayaka,HAPPINESSCHARGE PRECURE! WOW! (TV Size),175,3,3,147263
Mizukara wo Enshutsu Suru Otome no Kai,Girlish Lover (TV Size),165,3,3,73799
Soushi Sakiyama,Gyakkou,225,4,3,1523018
Perfume,Nee,128,5,3,57635
Nanjo Yoshino,Tasogare no Starlight,152,3,3,310609
LukHash,H8 U,118,10,5,1032103
P4koo,Feelings of fake (feat. Tsuyuri Karin),203,10,3,921855
Wilber Pan,Bu De Bu Ai,160,5,4,33311
Iguchi Yuka,HELLO to DREAM (TV Size),160,3,3,1001238
nano,SAVIOR OF SONG (feat. MY FIRST STORY),192,3,3,743684
FantasticYouth,No title,200,5,3,1009447
Inoue Joe,CLOSER (TV Size),166,3,3,1263974
Blue October,Into the Ocean,107.97,4,2,1437767
XX:me,Torikago,155,3,3,753203
Amamiya Sora,Tsuki Akari,91,3,3,224294
REDALiCE ft. Ayumi Nomiya,Crime Wave,156,2,3,105296
KISIDA KYODAN & THE AKEBOSI ROCKETS,nameless story (TV Size),194,3,3,1096599
ASIAN KUNG-FU GENERATION,After Dark (TV Size),191,4,3,1801641
Yuuhei Satellite,Kachou Fuugetsu,123,2,3,726596
Yellow Zebra & Den Kai Seisakusho,Hoshiiro Yozora,124,2,3,18004
Inori Minase,Aimaimoko,133,3,3,651721
Royal Republic,Addictive,136,10,2,393865
Hanatan,Tengaku,232,4,3,220785
Foreground Eclipse,I Bet You'll Forget That Even If You Noticed That,195,2,3,601135
Kousaki Satoru,Lucky Star Mush! ~DustFunk Lozik~,128,3,3,17915
QUEEN BEE,Mephisto (TV Size),150,4,3,1978432
BTS,DOPE,154,5,6,497583
Marie,Shiroki Yami no Arabesque (Soleily Remix),178,2,3,878833
GFOTY,My Song,178.4,5,2,839251
Mindless Self Indulgence,1989,184,4,2,5322
Lorna Shore,Immortal,260,11,2,1727167
katagiri,Palace of Melancholia,227,10,5,1596787
ParagonX9,Chaoz Impact,175,10,5,82448
O2i3,Ooi [Game Edit],216,10,5,355573
HoneyWorks feat. sana,Daisuki na Kototte Kuchi ni Dashite Iitai jan?,205,5,3,687879
Joji,SLOW DANCING IN THE DARK,178,9,2,902215
Matrix & Futurebound,Fire (feat. Max Marshall),174,10,2,957835
Warriyo,Venom,185,10,5,713362
5050,Jungle P (TV Size),145,3,3,53272
MIYAVI vs. KenKen,Flashback (TV Size),140,3,3,759061
THE ORAL CIGARETTES,BLACK MEMORY,182,4,3,975284
Mike Morasky,You Will Be Perfect,140,2,5,33197
Mewhan,Boku no Friend,162.83,3,3,576482
Hatsune Miku & Kagamine Rin & Megurine Luka,@,180,10,3,37014
umu.,humanly,250,4,3,1045518
24K,SUPERFLY,96.49,5,6,558362
Shade,Ontology,234,2,5,1050313
SOOOO,iiillluuuvvvUUU,200,10,3,959688
HO-KAGO TEA TIME,Singing!,180,3,3,39438
Roselia,Song I am.,190,4,3,1241753
Kuraki Mai,Winter Bells,164.06,5,3,23741
Mami Kawada,JOINT -TV Size-,180,3,3,349504
MYTH & ROID,HYDRA,166,3,3,732901
GARNiDELiA,Aikotoba (TV Size),148,3,3,751547
mafumafu,Inochi ni Kirawarete Iru.,200,4,3,829296
Delta Heavy,Ghost,174,10,2,558303
Araragi Tsukihi(Iguchi Yuka),Platinum Disco,117,3,3,547494
Hanatan,Kimi no Kiseki,190,4,3,54602
AKINO from bless4,Just Moving On Now,185,4,3,1186581
Traktion,Mission ASCII,174.5,10,5,53249
Draper,Set Me Free,170,10,2,329442
Yousei Teikoku,Deep Sea,175,10,5,104260
cYsmix,Manic,150,2,5,361214
EMILIA (CV: Rie Takahashi),Stay Alive,70,3,3,636235
Maya(CV.Minase Inori) & Erika(CV.Inami Anju),Anime o Katare! ~Animegatari Doukoukai no Thema~,185,3,3,644332
MYTH & ROID,JINGO JUNGLE,130,3,3,653835
ChouCho,Million of Bravery,160,2,3,1041534
Starset,It Has Begun,192,4,2,811195
yes we cant,wh,130,10,2,318842
Fractal Dreamers,Everything for a Dream,120,6,5,943803
VIXX,The king,146,5,6,421973
Kawamoto Makoto,1/2,123,3,3,222119
Kevin Manthei & Kevin Riepl,Puss In Boots Hero Time,160,2,5,302419
Colorful Sounds Port,Fuujin Raijin,142,2,3,667790
HOYO-MiX,Termination of Desires,72,10,5,1585145
Lucky Star,Motteke! Sailor Fuku (Metabo Taisaku Mix),175.01,3,3,4581
Natteke ft. tieff,Sunrise,115,2,5,34430
nao,Toaru Shoukoku no Ohimesama ga...,218,2,3,400859
DJ Splash,Bass Is Kicking (Wackez Vs Clubbiz Akustic Gone Bad Remix),150.21,10,5,19866
Nekomata Master,Far east nightbird,180,2,5,29538
yourness,Kago no Naka ni Tori (TV Size),81,3,3,1202748
Akitsuki Fuuka CV:Lynn,Fair wind,190,3,3,587541
10cm,From Me to You,126,3,6,249819
Camellia feat. Nanahira,Touryouka,256,4,3,1022167
Maaya Sakamoto,Sanagi,160,5,3,615921
suzumu,Tokyo Teddy Bear,204,4,3,961941
Panda Eyes & Teminite,Immortal Flame (feat. Anna Yvette),110,10,5,1069737
yozuca*,Ima o Wasurenai,190,2,3,1759086
Neru feat. Kagamine Len,Law-evading Rock,155,4,3,1022767
MAN WITH A MISSION,Dark Crow (TV Size),148,3,3,1048325
Sytry(CV:Yoshitsugu Matsuoka),Believe My Dice ~Sytry Solo ver.~,175,3,3,315436
Krewella,Live for the Night (Nightcore Mix),150.93,10,2,1204367
Junichi Masuda,Heavy Rain (LightUmbreon's Remix),145,2,5,39600
_yosuke & MOKONA,Sumowind,128,13,3,44782
YMCK,Family Dondon,122,5,3,12190
Demetori,Satori Maiden ~ Innumerable Eyes,190,2,5,32574
Duca,be confidence,130,2,3,437990
Livetune feat. Hatsune Miku,Carol (KZ remix),130,10,3,10661
Yamamoto Mineko,Rinne,179,2,3,1001755
fripSide,Heaven is a Place on Earth,138,3,3,35628
Haruna Luna,Sora wa Takaku Kaze wa Utau (TV Size),96,3,3,48609
Galileo Galilei,Climber,156,3,3,644566
Suirenji Ruka starring Yamazaki Haruka,Tsuki no Inori,117,3,3,99611
Nightwish,Sagan,146,4,2,395298
Matrix & Futurebound,Fire (feat. Max Marshall),174,10,2,975615
J.Fla,Believer,125,5,2,1079693
Manami Numakura,Sakebe,195,3,3,511055
TrySail,Utsuroi (Short Ver.),208,2,3,1155295
Cranky,Rave 2 Rave,165,10,5,751896
Luna,Shinsekai no Alpha,190,2,3,1191630
THE ORAL CIGARETTES,STAY ONE,200,4,3,1105934
Chitose Sara,Arcadia,178,2,3,300384
Plasmagica,Have a nice MUSIC!!(TVedit),172,3,3,375264
back number,Happy End,77,5,3,679053
Afilia Saga,Embrace Blade,135,3,3,370552
Akiakane,Sayoko,133,4,3,244256
narco & capo,R.I.P,135,2,3,15771
Lostprophets,A Town Called Hypocrisy,165.36,4,2,15464
CHiCO with HoneyWorks,Sekai wa Koi ni Ochiteiru TV size,130,3,3,194806
Takenaka Ryohei,Reason (TV Size),215,3,3,914567
Sound Souler,Paradise,126,2,5,686777
Denkishiki Karen Ongaku Shuudan,Aoki Kodoku,280,2,3,1151430
Ouse Akira,Sacrifice (Short Ver.),210,2,3,1639425
DJ YOSHITAKA,CUSTOM DRIVE,155,2,5,142937
Poppin'Party,Christmas no Uta,138,2,3,886360
Pitbull,Timber ft. Ke$ha (Speed Up Ver.),156,10,2,232451
Brad Breeck,Emotional Sincere Touching Banjo Celeste,100,6,5,1558087
TRUE,DREAM SOLISTER (TV Size),167,3,3,675521
MY FIRST STORY,Missing You,190,4,3,477251
LMYK,0 (zero) (TV Size),100,3,3,1520433
Aya Hirano,Hare Hare Yukai,172,3,3,756067
Hitori Bocchi (CV: Morishita Chisaki),"Ne, Issho ni Kaero. (TV Size)",184,3,3,1127858
Ray,Nagi - nagi - (PV Ver.),129,3,3,92028
xi,ANiMA,183.5,2,5,359191
Sanada Kanra (CV: M.A.O),Ano Basho e,132,5,3,908157
WALK THE MOON,Shut Up and Dance,128,5,2,421156
Ceui,"Ima, Arukidasu Kimi e.",87,2,3,402680
Kizuna AI,FUCK YOU!,240,4,2,717343
Taylor Swift,Love Story (Taylor's Version),119,5,2,1374672
Tatsh,Fuushi Kaden,200,6,5,15486
Goose house,Fuyu no Epilogue,72,5,3,330396
STEREO DIVE FOUNDATION,SPARKLES,160,3,3,1902611
HyuN,Illusion of Inflict,170,2,5,891366
Eve,Kaikai Kitan (TV Size),185,5,3,1276213
ELISA,Wonder Wind,163,3,3,28415
Itowokashi,Aoi Honoo (TV Size),136,3,3,1128882
Jesse & Joy,Si Te Vas,142,5,10,30584
petit milady,A or A!?,182.2,3,3,764785
*namirin,Senaka Awase no Kuukyo (with Kakichoco),186,5,3,716249
HTT,Pure Pure Heart,154,3,3,16523
Official HIGE DANdism,Yesterday,130,3,3,1070149
HTT,"NO, Thank You! (Full Ver.)",181,3,3,18841
Tommy Heavenly6,Pray (TV Size),178,3,3,20327
Alakrity,Mighty Morphin Power Rangers,182.1,11,2,1758657
Starlight Kukugumi,"You are a ghost, I am a ghost ~Gekijou no Ghost~",196,3,3,941509
hitorie,3-pun 29-byou (TV Size),203,4,3,1438780
MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",200,4,3,1252874
nano,Exist,188,3,3,73789
Maeshima Mayu,Long shot,135,3,3,1779463
"Wake Up, May'n!",One In A Billion,187,3,3,637877
Otokaze,Karen (Short Ver.),184,13,5,50177
Jin Yan Xie,Dancing Kong Fu,145,10,4,29706
Hommarju feat. Latte,masterpiece,180,3,3,12483
Dirty Androids,City Never Sleeps,178,2,5,234030
Yasuda Rei,Message,80,3,3,438162
Hanazono Tae (CV: Otsuka Sae),Hanazono Denki Guitar!!!,188,2,3,943947
Yoko Shimomura,Doctor Kokino,159.94,2,5,1669033
"Mimi (CV: Hidaka Rina), Misogi (CV: Morohoshi Sumire), Kyouka (CV: Ogura Yui)",Little Adventure,148,2,3,974356
TRUSTRICK,Recall THE END (Anime ED Version),184,3,3,509808
Satoshi (CV:Rica Matsumoto),XY&Z,254,3,3,409649
Shimotsuki Haruka,Liblume,150,5,3,1096081
Feint,Outbreak (feat. MYLK),175,2,5,738915
FREDERIC,Kanashii Ureshii,142,3,3,635597
Ogura Yui,Baby Sweet Berry Love (TV Size),170,3,3,85361
SHK,Violet Perfume,140,2,5,1010865
GFRIEND,MEMORIA,137,5,3,848112
sphere,HIGH POWERED (TV Size),187,3,3,37202
Origami Angel,The Title Track,190,4,2,1503591
Memme,NEW Astronomas,160,2,5,87188
"Morishita Chisaki, Tanaka Minami, Kito Akari, Kurose Yuuko",Hitoribocchi no Monologue (TV Size),128,3,3,986224
MY FIRST STORY,START OVER,210,5,3,751708
So'Fly,i BELIEVE~Hoshi ni Negai o,103,5,3,516179
wa.,Black Lotus,200,10,5,1441882
Ayane,Itsumo Kono Basho de,90,3,3,549739
CHiCO with HoneyWorks,"Watashi, Idol Sengen",180,5,3,831747
Charli XCX,Boom Clap,92,5,2,730792
smileY inc.,Hanayuki(TVsize),146,3,3,212807
Nanamori-chu*Goraku-bu,Yes! YuYuYu*YuruYuri,182,3,3,379229
OISHII,ONIGIRI FREEWAY,210,2,5,873667
TRUE,Storyteller (TV Size),192,5,3,1342862
Akatsuki Records,WARNING x WARNING x WARNING,172,2,3,755619
Kitamura Eri,Happy Girl,145,3,3,49759
nameless,Sayonara Wonder Noise,240,4,3,483885
Thaehan,Ohayou !,188.5,10,5,1030093
Kotoha,Yuki wa Naniiro,179,5,3,2004195
Cream puff,Mermaid girl,140,2,5,715915
seiya-murai feat.ALT,Sumidagawa Karenka,180,2,3,28796
P4koo(Vocal.rerone),Fly High,142,5,6,490172
"Riko (CV: Tomita Miyu), Reg (CV: Mariya Ise)",Deep in Abyss,135,3,3,683322
Euchaeta,Who's World?,128,5,3,1622155
HoneyWorks feat. sana,Ima Suki ni Naru.,170,4,3,828753
Doubutsu Biscuits x PPP,Ke-Mo-No-Da-Mo-No,162,3,3,1029394
DIALOGUE+,Omoide Shiritori (TV Size),172,3,3,1434635
Tetsuya Kakihara,String of pain (TV Size),175,3,3,76224
EGOIST,KABANERI OF THE IRON FORTRESS (TV Edit),175,3,3,440897
meganeko,Feral (osu! edit),160,10,5,1204383
ClariS,Hitorigoto -TV MIX-,165,3,3,596910
Mili,Gertrauda,116,6,14,807114
Sukima Switch,Golden Time Lover (TV Size),125,3,3,12082
Kugimiya Rie,Pre-Parade (Instrumental),160,3,5,14563
Suzumu feat. GUMI,Sakurairo Time Capsule,170,4,3,1195834
Yousei Teikoku,Weiss Fluegel,180,6,3,39320
Memme,Avalanche,175,2,5,611095
II-L,SPUTNIK-3,170,10,5,1312076
Samoto Fuuri,motto~,160,2,3,50473
Ninomiya Asuka (CV: Aoki Shiki),Kyoumei Sekai no Ontology,190,4,3,841338
kors k vs. L.E.D.,SOLID STATE SQUAD,155,2,5,15630
Selphius,Blade of Hope (Another Version),188,10,8,1386486
Skillet,Whispers in the Dark,188,4,2,8066
Kola Kid,the Earth is counting on you,210,10,2,673494
Mami Kawada,sense,168,3,3,325638
Liliana Sisters,Life-Ru is LOVE-Ru!!,180,3,3,96330
Kuroha Neko (CV Taneda Risa),Sassou Toujou!Neko-san,156,3,3,737129
MAX MAXIMIZER vs. DJ TOTTO,Rebellio,234,2,5,744636
Kageyama Shota,Sentou! Denshousha Higana,179,2,5,803934
Fujijo Seitokai Shikkou-bu,Best FriendS,163,3,3,189476
monobright,Anata MAGIC (TV Size),158,4,3,1190128
Kitazawa Ayaka,Kimi to no Nakushi Mono (TV Size),134,3,3,126480
Yusuke,V (TV Size),200,3,3,971957
Toby Fox,BIG SHOT,140,2,5,1580221
Kola Kid,broken legs,210,10,5,1160961
Sawawa,kirakira TIME*,202,2,5,354013
Krewella,Say Goodbye (Sped Up & Cut Ver.),200,10,2,1620540
Aoi Eir,Brainwash,191,5,3,1258447
Maon Kurosaki,Afterglow,82,3,3,347967
40mP feat.yuikonnu,Ame to Asphalt,190,4,3,159527
NaixLM,Miao Diao Dui You Shun Jian Bao Zha,158.52,7,4,289713
Chitose Sara,Arcadia (Short ver.),178,2,3,413909
Scott Brown,Go Berzerk,172,10,5,1596950
fhana,calling,71,3,3,481927
HujuniseikouyuuP,Sayonara Lechenaultia,195,4,3,65747
MYLK,Waffle Wave,170,10,2,1154876
Mia REGINA,My Sweet Maiden,204,3,3,1109062
TUYU,Doro no Bunzai de Watashi dake no Taisetsu o Ubaouda nante,225,5,3,1246152
Kugimiya Rie & Kitamura Eri,Holy Night,110,3,3,227585
Potap & Nastya Kamenskih,Chumachechaya Vesna,140,5,12,44135
Miranda!,Don,120,5,10,1225299
Yorushika,"Hachigatsu, Bou, Tsukiakari",220,4,3,963814
Kitsune Soundsystem,Raptorjesus Died for Our Sine Waves,176,10,5,32405
Starving Trancer feat. MAKI,only my railgun,144,3,3,43513
Giga,-BWW SCREAM-,180,10,5,404658
Draw The Emotional,Sad Spring,184,2,3,71738
Yakushimaru Etsuko,Venus to Jesus (TV Size),156,3,3,15136
Nakagawa Shouko,Sorairo Days,174,3,3,184786
ANNA TSUCHIYA inspi' NANA(BLACK STONES),rose,172,3,2,620848
DISH//,FLAME (TV Size),192,4,3,1249344
Intoxicados,Esta saliendo el sol,123,4,10,93205
NeLiME,CODE NAME : ZERO,200,2,5,148238
"Fear, and Loathing in Las Vegas",Let Me Hear,184,3,3,225293
Rhodanthe*,Yumeiro Parade,180,3,3,295685
8284 vs wa.,Adularescence,190,2,5,119438
XX:me,Torikago (TV Size),155,3,3,726765
Ito Kanako,Skyclad no Kansokusha,167,2,3,416129
Prismo,Stronger,140,10,2,715050
Feint,Face Down,175,10,5,240329
Yu Lin Xian,Song of Cao Ni Ma,127.32,13,4,55951
Rex,Heart of Witch,170,2,5,20309
Kola Kid,press start,200,10,5,1107725
Maeda Tatsuyuki,Flying Battery Zone Act 2,150,2,5,56215
cYsmix,bells!,65,2,5,888644
Megurine Luka,DYE,158,10,2,12903
Marika,Knowing,140,2,3,53176
Aqours,Aozora Jumping Heart,200,2,3,611367
DECO*27*40mP,HOME,140,4,3,161545
MYTH & ROID,Paradisus-Paradoxum,201,3,3,485788
i*Ris,Ultimate*MAGIC (TV Size),190,3,3,965596
Chitose Sara,Merry Merry Go Round,185,2,3,469475
EGOIST,"Ame, Kimi o Tsurete",184,4,3,352704
goreshit,o'er the flood,194,6,5,51972
Renard,Banned Forever,220,10,2,16349
Konohana-tei Nakai no Kai,"Haru Urara, Kimi to Sakihokoru (TV Size)",180,3,3,979801
Epic Games,Electro Swing Dance Emote,120,2,5,870895
Juno,Focus,180,2,5,316562
MitiS,Elements of Thought (Original Mix),174,10,5,165973
TUYU,Loser Girl,186,5,3,1333508
cYsmix,Dovregubben's Hall,140,2,5,360950
Tamura Yukari,W:Wonder tale (TV Size),183,3,3,132806
ELEMENTAS feat. Nana Takahashi,Drive my Life,167,10,2,820192
Kozato,45nen no Yukizakura,170,2,5,36097
tomppabeats,i want to tell you i love you but i can't (ft. olli),92,6,5,676576
Tokiwa Yuu,Shounen Ripples,210,2,3,39678
Inori Minase,Aimaimoko,133,3,3,704627
kors k,smooooch,177,2,5,119359
Mili,Rightfully,182,3,3,875117
Rise Against,Making Christmas,164,4,2,247165
Epik High,Fan,166,9,6,8499
S.H.E,London Bridge Is Falling Down,120,5,4,17069
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,3,3,471261
BAND-MAID,RINNE,190,4,3,1193063
Kano,Itte.,180,5,3,1181420
Tia,Nirvana,144,3,3,361956
halca,Toki toshite Violence (TV Size),182,3,3,1207987
Tarnya,Petit-Copter,142,2,5,1700228
Halozy,Dut ~Usagi Tobi Suteppu~,175,2,3,64278
Girls Dead Monster,Alchemy,165,3,3,15778
Nobuo Uematsu,Fight Against Culex,173.3,2,5,9854
Kano,Stella-rium,177,3,3,315655
S3RL,Catchit (Radio Edit),175,10,2,785731
MY FIRST STORY,ALONE,200,4,3,395846
FROZEN QUALIA,Kaleidoscope,175,5,3,1511831
Toyama Nao,Ima Koko,140,3,3,687493
ALiCE'S EMOTiON,LUNA,178,2,3,47124
Chino (CV. Inori Minase),Mirai Puzzle,160,3,3,536219
Harumaki Gohan feat. Hatsune Miku,Yakusoku,136,5,3,1463668
SymaG,Nannimonai,206,4,3,679965
Rin,Prism Magical (DJ SHARPNEL hardrave remix),186.78,2,3,39032
Ai-chan (CV: Harada Sayaka),Otome no Tawawa (TV Size),160,3,3,866432
DJ Poochies,The Landing,210,2,5,183438
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,917930
Barbarian On The Groove feat. Chata,Guruppo (Short Ver.),180,2,3,44625
3R2,Brawl Breaks,165,2,5,1083157
Itou Kanako,Hacking to the Gate (TV Size),161,3,3,35108
Yousei Teikoku,Wahrheit,180,5,3,9561
Suda Keina,veil (TV Size),150,3,3,1881103
eufonius,"glowing world ~Kagayaki no, Sekai e~",160,2,3,329637
yuikonnu,Kakushigoto,200,4,3,504245
Darren Korb,"Setting Sail, Coming Home",120,4,2,108461
"Touyama Nao, Hanazawa Kana, Komatsu Mikako, Asumi Kana",Aimai Hertz TVsize ver.,169,3,3,302549
BTS,Boy In Luv,82.99,5,6,529064
DJ TOTTO feat. Sunao Yoshikawa,Arousing,179,2,3,148092
LeaF,Poison AND/OR Affection,240,2,5,1130436
Minase Inori,Winter Wonder Wander,136,5,3,1122158
HO-KAGO TEA TIME,Pure Pure Heart (Full Ver.),154,3,3,17058
ClariS,STEP,146,3,3,312851
DJ Dean,It's A Dream,142,10,5,22812
LiSA,AxxxiS (TV Size),194,3,3,868679
Sharlo,Shinkai Shoujo,137,4,3,221768
gmtn. (witch's slave),furioso melodia (2017 VIP),155,10,5,1009732
Banya,Beethoven Virus (Full ver.),156,2,5,16893
MACINTOSH PLUS,ECCO to Okan Daibingu,81.65,6,5,658811
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,3,3,373858
Girl's Day,Ring My Bell,198,5,6,460322
Akiyama Uni,Touhou Hisouten,120,2,5,455069
Juice WRLD,Wishing Well,75,9,2,1236449
cosMo@BousouP,Oceanus,196,2,5,267767
Sound Horizon,Shiseru Eiyuutachi no Tatakai,150,3,3,8809
"Miki Sayaka (CV: Kitamura Eri), Sakura Kyoko (CV: Nonaka Ai)",and I'm home,125,3,3,786689
cosMo@Bousou-P,Sadistic.Music Factory,165,2,3,476871
Molly,Beneath The Lights (Darren Styles Remix),170,10,2,355065
XX:me,escape (TV Size),206,4,3,945854
ReoNa,ANIMA (TV Size),193,3,3,1211726
Chayanne,Torero,136,5,10,20013
Zach Callison,Be Wherever You Are,165,3,2,814769
"Azumi Waki, Marika Kouno, Machico",Umapyoi Densetsu,170,2,3,664462
Rihanna,Disturbia,125,5,2,1589921
defsharp,common courtesy,83.5,10,2,1683483
Yumi Matsuzawa,So We Can Smile Tomorrow,146,3,3,8495
kurokumo x konoco,Ifuudoudou,130,5,3,656179
Aimer,Brave Shine (TV size),85.5,3,3,300626
The Chainsmokers & Coldplay,Something Just Like This,103,10,2,611301
Uehara Rena,Todokanai Koi '13 (TV Size),135,3,3,1132232
Nomizu Iori,Black + White (TV Size),192,3,3,75717
Audioslave,Like a Stone,108,4,2,1849341
LEAF XCEED Music Division,Dear You [ver. XCEED],70,2,5,951890
Neuromonakh Feofan,Siyaniye,175,10,12,1108388
S-C-U,milky ice bear,147,2,5,57272
Analog digitaL,IBUKI,138,4,5,1282968
dj TAKA,quaver,182,2,5,423527
Amaranthe,Hunger,200,11,2,1028446
TSUNKU,Shugyou no Thema,189,2,5,660914
Yousei Teikoku,Zetsu,260,11,3,1262446
Kayano Ai,Hachimitsu Doki (TV Size),152,3,3,115586
HoneyWorks,Kokuhaku Yokou Renshuu,185,4,3,68736
Celldweller,Senorita Bonita,110,10,5,353368
Utsu-P,TRAUMATIC,240,11,3,499478
Halozy,Aqua Trytone / Kanshou no Matenrou,183,2,3,777789
yuikonnu,Osanana Blue,148,4,3,446085
Hanatan,Hyakunen Yakou,178,4,3,79100
3L,Spring of Dreams,153,2,2,739119
CLC,No oh oh,93,5,6,473049
RIOT,Overkill,174,10,2,992847
IOSYS,RE:Usatei,175,2,3,31343
fourfolium,JUMPin' JUMP UP!!!!,168,3,3,641695
S3RL,Pika Girl,175,10,2,40440
fripSide,dual existence (TV Size),171,5,3,1223739
Team AA,Pulse (TV Size),184,5,3,1344595
Fujijo Seitokai Shikkou-bu,Love Shitai! (TV Size),182,3,3,110549
Yakushi Ruri,"Oniichan, Gyutte Shite! Motto Shite!",173,2,3,1063886
Avril Lavigne,Hello Heartache,87,5,2,133492
Sky Peace,Ame ga Furu kara Niji ga Deru (TV Size),186,3,3,811447
THE ROLLING GIRLS,Yuugure,122,3,3,433666
Three,Kuuchuu Bunkai,200,4,3,952132
Silent Spica,Anhedonia,180,2,5,60136
Spica,Yume o Kakeru! (TV Size),195,4,3,1430235
Lovejoy,The Fall,132,4,2,1621981
senya,Theta de Tsukisashite,160,2,3,1353531
AYUMIKURIKAMAKI,Honey Honey Honey(TV size),153,3,3,403924
Expander,Move That Body,196,2,5,132586
Aso Natsuko,Perfect-area complete! (TV Size),183,3,3,95624
Petit Rabbit's,Tenkuu Cafeteria (TV Size),154,5,3,1229395
Megumi Nakajima,Watashi no Sekai,170,3,3,559644
Mia REGINA,I got it! (TV Size),200,4,3,1164305
nano,Born to be,192,3,3,208245
TUYU,Kuraberarekko (TUYU Remix),194,5,3,1182767
Inori Minase,Aimaimoko (TV Size),133,3,3,1832537
Shimoda Asami,BEAUTIFUL SKY Rin Solo Ver.,180,3,3,245251
Hommarju feat. Latte,masterpiece,180,3,3,14592
ALiCE'S EMOTiON,Look For The Truth,170,2,3,38271
ESTi,Ray of Illuminati,150,2,5,27701
Afilia Saga,S.M.L,200,3,3,145685
Tenpei Sato,Is It Admiration for Overlord Laharl?,91,2,5,9422
CloZee,Koto,100,10,5,517055
Girls Dead Monster,"My Soul, Your Beats! (Gldemo ver)",145,3,3,17439
