art,t,bpm,g,ln,s
BOSSFIGHT,Dr. Wily's Castle: Stage 1,175,2,5,356147
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.),164.08,5,2,1254985
"Aimi, Sakura Ayane, Maeshima Ami, Aiba Aina, Itou Miku",Picotto! Papitto!! GARUPA * PICO!!! (TV Size),190,3,3,1715490
DIALOGUE+,Omoide Shiritori (TV Size),172,3,3,1434346
Shiggy Jr.,oyasumi,200,4,3,1161953
Tristam,Follow Me,154,10,5,48901
Sonata Arctica,Black Sheep,199.72,4,2,63
Hige Driver join. SELEN,Dadadadadadadadadada,156,2,3,350076
Hanatan,Attakain Dakara,170,5,3,464644
GazettE,Shiver (TV Size),240,3,3,17953
Alipio Martins,Piranha (Maffalda Reloaded Trap Mix),171,9,14,287873
Chroma,I,225,2,5,944317
Silentroom,XHRONOXAPSULE,277,10,5,1715139
Inori Minase,Aimaimoko,133,3,3,669017
Hanatan,If,208,11,3,630801
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,557733
S3RL,Bass Slut (Original Mix),175,10,2,375648
Rungran,d.m.c (Band Ver.),180,2,5,52203
Hino Isuka,Dreamin' attraction!!,205,10,5,1404850
EMILIA (CV: Rie Takahashi),Stay Alive,70,3,3,488396
Ohashi Ayaka,Wagamama MIRROR HEART (TV Size),181,3,3,896670
Turbo,PADORU / PADORU,190,10,3,1323896
Hanasaka Yui (CV: M.A.O) feat. Koalazy,Harumachi Clover (TV Size),142,3,3,780651
Agnete Kjolsrud,Get Jinxed,180,2,2,361740
EVO+,[A]ddiction,164,5,3,378803
JerryTerry,U.N. Owen Was Yee?,155,7,14,263191
ChouCho,Yasashisa no Riyuu,177,3,3,685391
supercell,My Dearest (TV Size),167.8,3,3,38579
Sagara Kokoro,Hoshizora no Ima,185,2,3,903137
Hanasaka Yui (CV: M.A.O),Aozora Morning Glory (TV Size),138,3,3,1039298
96neko,Uso no Hibana (TV Size),188,3,3,1442335
Kola Kid,press start,200,10,5,626831
xi,Aragami,196,2,5,609324
Baby Alice,Pina Colada Boy (Nightcore Mix),141.25,10,2,29864
Kankaku Piero,Haruka Mirai (TV Size),182,4,3,1252821
Nightcore,Jump Jump,166.75,10,2,12191
fripSide,sister's noise (TV Size),144,3,3,87871
55x55,MRAZ' (feat. Larin),120,10,12,635171
Kucchy vs Akky,Yakumo ~ JOINT STRUGGLE,187,2,5,12909
Renard,PIZZZZZZZZ,200,10,5,638112
Reol,MONSTER,164,4,3,366440
Aimer,LAST STARDUST,81.33,3,3,539860
U1 High-Speed,EGOISM 440,220,2,5,717720
Nanahira,Tobidase! Sweet Sweet Magic*,180,10,3,42837
Murasaki Hotaru,Re:TrymenT,190,2,3,794111
Rish feat. Choko,Punai Punai Taisou,271,10,3,1560368
