art,t,bpm,g,ln,s
Roses Epicurean,Yoru no Kodomo tachi,115,5,3,325112
Seiryu,BLUE DRAGON,191,2,5,326920
Nanahira,Chikatto Chika Chika,178,3,3,942642
DIVELA feat. Hatsune Miku,Beat Syncer,200,2,3,1034008
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,3,3,443751
SPYAIR,I'M A BELIEVER,194,3,3,362718
Lia,Bravely You (TV Size),150,3,3,337527
toby fox,sans.,128,2,5,584575
Yasuda Rei,Passcode 4854 -TV edit-,140,3,3,740068
bradbreeck,Emotional Uplifting Orchestral,77,3,5,557532
Suzuki Konomi,Realize (TV Size),206,3,3,1190710
Toyosaki Aki,Diamond,174,3,3,111760
Kitamura Eri & Nonaka Ai,and I'm home,125,3,3,208112
*namirin,Daidai Genome,135,5,3,700726
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,600702
Goose house,Hikaru nara -TV size-,160,3,3,223871
Aqours,Aozora Jumping Heart,200,3,3,494768
ARCIEN,Future Son,150,10,2,357466
Tia,The Glory Days,184,3,3,391953
Tanaka Hirokazu,C-TYPE,149.3,2,5,757146
Brian The Sun,Lonely Go! (TV Size),204,3,3,863227
ONE OK ROCK,One by One,197,4,2,1148073
Three Days Grace,Unbreakable Heart,140,4,2,346339
REDALiCE,Pekorap Tropical House Remix,110,10,3,1224414
FELT,In my room,165,10,5,399061
SirensCeol,Nightmare (Maxin Remix),174,10,5,115107
Intervals,The Self Surrendered,210,4,2,517861
Ayase Rie,Yuima-ru*World TVver.,180,3,3,459149
FELT,New World,195,2,3,407175
Okazaki Taiiku,Kimi no Bouken (TV Size),200,3,3,869019
Aoi Eir,IGNITE (TV size ver.),171,3,3,190222
Drop,Granat,180.96,6,5,720240
KOTOKO,Koi Kou Enishi,144,2,3,504995
WEAVER,Kuchizuke Diamond,164,3,3,368985
Hoshimachi Suisei,Ranbu no Melody (Cut Ver.),192,4,3,1483235
Avicii,Addicted To You,128,5,2,186458
supercell,Kimi no Shiranai Monogatari,165,3,3,289074
the peggies,Kimi no Sei (TV Size),174,3,3,865746
Primastella,Koigokoro,140,2,3,127712
Bentham,Chicago,210,4,3,1187933
kakichoco,Zan'ei,180,4,3,1759729
Set It Off,Horrible Kids,170,4,2,1249048
Yuuki Aoi,Mata Ashita,125,3,3,172055
Goose house,Hikaru nara -TV size-,160,3,3,223180
Feint,Tower Of Heaven (You Are Slaves),175,10,5,128931
Roromiya Karuta(Hanazawa Kana),sweets parade,206,3,3,609311
Little Glee Monster,"Dakara, Hitori ja Nai (TV Size)",180,3,3,1129819
Sagara Kokoro,Hoshizora no Ima,185,2,3,79116
TheFatRat ft. Laura Brehm,MAYDAY (Nightcore Mix),172.5,10,2,754219
AliA,Kakurenbo,180,4,3,1158561
AKINO from bless4,MIIRO,195,3,3,312042
Trident,Blue Field,135,3,3,175968
96neko,Uso no Hibana,188,3,3,569503
YOASOBI,Kaibutsu (TV Size),170,3,3,1328989
Koda Kumi,Guess Who Is Back (TV Size),183,3,3,906786
dark cat,BANANA STREET,154,10,5,560047
LiSA,ROCK-mode,180,4,3,1124391
Avenged Sevenfold,Save Me,190,11,2,866472
Hana,Sakura no Uta,180,2,3,376552
ClariS,Wake Up -TV MIX-,132,3,3,450393
Simple Plan,You Suck At Love (Speed Up Ver.),177.65,4,2,819112
MIMI feat. Hatsune Miku,Ai no Sukima (Rock Cover),204,4,3,1092468
Kano,Stella-rium,177,3,3,356821
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,3,3,439104
positive MAD-crew,Mynarco,181,2,3,824205
Yusuke,V (TV Size),200,3,3,971957
Agressor Bunx,Tornado (Original Mix),172,10,5,236292
TERRA,EDEN,200,5,3,905422
Evoluutiomies,Suklaapallit,129.97,7,14,24372
MOMOIRO CLOVER Z,SANTA SAN,190,5,3,378183
Ren feat. Hatsune Miku,"Tougetsu, Rinzen ni Kisu.",190,5,3,1418780
supercell,The Bravery (TV Edit),189,3,3,308912
Spira Spica,Sansan Days (TV Size),180,5,3,1669877
Equilibrium,Waldschrein,200,11,8,369354
VINXIS,Sidetracked Day,188,10,5,838182
THE ORAL CIGARETTES,ReI,186,4,3,754451
ClariS,SHIORI -TV size mix-,176,3,3,661919
chano & 40mP,Natsukoi Hanabi (Sped Up Ver.),175.4,5,3,1244123
ONE OK ROCK,Start Again,174,4,3,1035167
DOES,Guren,187,3,3,424295
07th Expansion,rog-unlimitation,220,2,5,28751
