art,t,bpm,g,ln,s
Qrispy Joybox,licca,196,2,5,242877
ecosystem,Dilemma,182,3,3,418313
BACK-ON,wimp feat. Lil' Fang (from FAKY) (TV Size),186,3,3,597093
HAG,Arrow,181,5,3,1090194
RO-KYU-BU!,Rolling! Rolling! (TV Size),175,3,3,103588
Daniel Ingram,The Pony I Want To Be (Sim Gretina Remix),128,3,2,366760
VINXIS,Applause,120,10,5,501719
Hoshino Gen,DORAEMON,160,3,3,807111
Usada Pekora,Discommunication Alien,170,5,3,1181343
capitaro,Tenshinranman High Collar Hime,170,4,3,55925
Shinsei Kamattechan,Yuugure no Tori,89,3,3,688427
Satou Shizuku,Growing!,140,2,3,77928
Kirsten Price,We Will Be Heroes,145,3,2,579551
KOTOKO,Special Life! (TV Size),180,3,3,962716
LiSA,Shirushi -TV ver.-,146,3,3,230901
Aimer,Brave Shine (TV size),85.5,3,3,300858
Shawn Mendes,Stitches (Sped Up Ver.),180,5,2,985295
GHOSTEMANE,Mercury: Retrograde,157,9,2,838193
Mrs. GREEN APPLE,Ao to Natsu,185,5,3,992659
"Yamazaki Haruka, Tadokoro Azusa, Machico, Kouri Arisa, Minami Saki",Welcome!!,167,2,3,775016
Stonebank,The Pressure,170,10,5,325307
REDALiCE feat. anporin,Beautiful Dream,182,2,3,463361
Hashimoto Miyuki,Symphonic Love,144,2,3,19992
kessoku band,Wasurete Yaranai,184,4,3,1909993
Nakae Mitsuki,"Pure Love, True Love",138,2,3,123687
ClariS,SHIORI,176,3,3,747684
ClariS,Careless (TV Size),185,3,3,1540036
Dreamcatcher,Full Moon,190,5,6,721842
inabakumori,Tokoshizume,187,5,3,1777533
Nakiri Ayame,Deep Indigo,210,4,3,1152106
Yuki Setsuna (CV: Kusunoki Tomori),LIKE IT! LOVE IT!,195,4,3,1254012
Ray,km/h,185,5,3,1248042
YURiKA,Shiny Ray (TV Size),183,3,3,1086799
Mind Vortex,Alive,173,10,2,1879592
Halozy,Secret Sister Complex,153,2,3,112941
Yuna (CV: Kanda Sayaka),delete,157,3,3,971212
Takayan,Kusarikitta Jinsei da.,190,4,3,1229990
mary,Leica,178,5,3,1242968
Swimy,Acchi Muite,187,5,3,1141606
Yousei Teikoku,Hades: The Rise,210,6,3,33911
Suzuki Masayuki,Love Dramatic feat. Ihara Rikka (TV Size),129,3,3,925628
DragonForce,Seasons,193,4,2,449873
MiLO,BEST PLOT,210,5,3,1739110
ICHIKO,I'LL BE THERE FOR YOU (TV Size),170,3,3,1085263
KISIDA KYODAN & THE AKEBOSI ROCKETS,HIGHSCHOOL OF THE DEAD (TV size),190,3,3,712106
daniwellP,Nyanyanyanyanyanyanya!,142,10,14,31419
Kraster,Remember History (Short Ver.),140,2,3,22115
Mami Kawada,Contrail ~Kiseki~,168,3,3,403814
Miki Sayaka vs. Miki Sayaka (fw. Miki Sayaka),squartatrice,180,10,5,40368
nano,Exist,188,3,3,73789
Chino (CV. Inori Minase),Mirai Puzzle,160,3,3,536219
Nagito Komaeda(cv.Megumi Ogata),Zettai Kibou Birthday,180,3,3,520039
Sim Gretina,Raise This Barn (Remix),130,10,2,72324
Mizuki Nana,Vitalization (TV Size),190,3,3,102803
LIDA x FRIK PATI,Emo Hardcore,159,10,12,1502812
Hoshimachi Suisei & Amane Kanata,Tsukiakari,198,4,3,1296278
Kitta Izumi,Dou Kangaete mo Watashi wa Warukunai (TV Size),148,3,3,104278
Junichi Masuda,Tokiwa e no Michi - Masara yori,125.7,2,5,667454
Utada Hikaru & Skrillex,Face My Fears (English Version),160,2,2,918624
Yuaru,Streaming Heart,210,4,3,511635
Demetori,Silent Voyage to Eternity,170,2,5,14309
Roselia,MIIRO,195,2,3,1000885
Ryu*,Sakura Reflection,181.01,2,5,28649
BiSH,PAiNT it BLACK (TV Size),212,3,3,936345
U,the first the last,140,2,3,17068
LiSA,Hi FiVE!,178,4,3,480669
Sayuri,Hana no Tou (TV Size),170,5,3,1804015
mezClA (Evatan & Mecotan),Azul Remix,195,10,5,1793226
nao,Dimension tripper!!!!,188.2,3,3,359479
nasuo*,Honey Jet Coaster (TV Size),175,3,3,1739192
Linked Horizon,Guren no Yumiya (TV Size),180.68,3,3,92297
Ayaponzu*,Streaming Heart,210,4,3,552702
Poppin'Party,Koko kara Saki wa Uta ni Naranai (TV Size),190,4,3,1542576
Grant Kirkhope,King Sandybutt's Tomb,138,2,5,1114471
Suara,Fuantei na Kamisama,156,3,3,365689
Tyrfing,Verflucht,180,2,5,965125
Rihanna,Disturbia,125,5,2,1589921
Amatsuki,Kimi no Shiranai Monogatari,165,3,3,1134367
Souei Academy Light Music Club starring i.o,Sekai de Hitotsu no Takaramono,192,2,3,52048
Kagura Nana,Kodou (TV Size),90,3,3,1595938
M2U,Stellar,200,2,5,773043
Tadokoro Azusa,Junshin Always,180,3,3,838515
Rudimental,Not Giving In feat. John Newman & Alex Clare,159,10,2,287360
Imperial Circus Dead Decadence,Uta,205,11,3,962562
Various Artists,GIRLS' LEGEND U,205,2,3,1486797
Brian the Sun,HEROES (TV Size),198,3,3,1209564
TrySail,Honto da yo,175,5,3,785235
Set It Off,Kill The Lights,160,4,2,559814
JIN feat. MARiA from GARNiDELiA,Children Record,202,4,3,1028642
halca,Sentimental Crisis (TV Size),167,3,3,1698859
MYTH & ROID,Paradisus-Paradoxum,201,3,3,485788
Kyle Massey,Cory in the House,107,5,2,429436
Infected Mushroom,Becoming Insane,145,10,2,92235
soraru,Gin no Kisei (TV Size),194,3,3,882398
Sawai Miku,Colorful. (Asterisk DnB Remix),175,3,3,299454
KOAN Sound & Asa,Starlite,170,10,5,294496
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,3,3,881769
THE ORAL CIGARETTES,CATCH ME (Cut Ver.),184,4,3,1655139
DJ Flower,Jamaican Love,128,10,2,163199
Megpoid GUMI,Chocolate,180,4,3,52732
Rin'ca,Kiseki Melody,170,2,3,787362
Inori Minase,brave climber,190,5,3,1785920
nao,Dimension tripper!!!!,188,3,3,126749
TRUE,Storyteller (TV Size),192,5,3,1782868
Lapis Re:LiGHTs Stars,Watashitachi no STARTRAIL (TV Size),180,5,3,1321380
Verka Serdyuchka,Novogodnyaya,145,5,12,376376
CHiCO with HoneyWorks,Gamushara (TV Size),194,4,3,1513125
Tomato n' Pine,Nanairo*Namida (TV size),127,3,3,34196
IOSYS,Resurrection Blossom,190,4,5,54043
Yorushika,Tomin,180,4,3,1007573
XX:me,escape (TV Size),206,3,3,805539
ClariS,border,178,5,3,1701031
RADWIMPS,Yume Tourou,178,3,3,936827
Okui Masami,TREASURE BOX,162,3,3,319822
bladee & ECCO2K,Obedient,176,9,2,1170997
Galileo Galilei,Aoi Shiori (TV Size),132,3,3,82035
Sonoda Umi (CV: Mimori Suzuko),Snow halation (UMI MIX),173,3,3,878697
ZAQ,Sparkling Daydream,175,3,3,389192
illion,AIWAGUMA,176,5,3,533037
ClariS,CLICK (Asterisk DnB Remix),175,10,3,445454
MIMI,Mizuoto to Curtain,186,10,3,1529722
Aso Natsuko,Perfect-area complete!,183,3,3,927758
amazarashi,Sora ni Utaeba -TV edit.-,204,3,3,638701
Yuaru,Jitter Doll,180,4,3,773512
Kawada Mami,as x sist ~Amae Beta na Watashi Nari ni~,168,2,3,949583
Sayuri,Sore wa Chiisana Hikari no Youna,144,3,3,427725
Reol,Asymmetry,184,10,3,310499
NateWantsToBattle feat. Amanda Lee,Kuusou Mesorogiwi,230,3,2,356752
ROTTENGRAFFTY,70cm Shihou no Madobe,149,3,3,694047
Dollscythe,Flashes (Extended),180,2,5,358350
Sharlo,Fantastic Future,171.96,3,3,466550
THE ORAL CIGARETTES,Red Criminal (TV Size),192,4,3,1502178
Caramell,Caramelldansen (Ryu* Remix) (Nightcore Mix),197.75,7,9,48842
Sakura Chiyo (CV:Ozawa Ari),URAOMOTE FORTUNE,132,3,3,210706
Suara,Fuantei na Kamisama TV ver.,156,3,3,396096
Lala & Haruna (CV:Tomatsu Haruka & Yahagi Sayuri),Apple Panic!?,158,3,3,427372
Starlight Kukugumi,"You are a ghost, I am a ghost ~Gekijou no Ghost~",196,3,3,941509
HO-KAGO TEA TIME,"NO, Thank You!",181,3,3,401903
SID,Uso (TV Size),180,3,3,544412
Initial D,Running in the 90's,158.5,3,2,2103
Comedian Harmonists,Perpetuum Mobile,161,6,14,316390
Itou Kanako,Hacking to the Gate (TV Size),161,3,3,33428
Masayoshi Minoshima,Necro Fantasia,175,2,3,89810
DECO*27 feat. marina,Aimai Elegy,210,4,3,43248
Bonjour Suzuki,Ano Mori de Matteru (TV Size),88,3,3,255701
Kohinata Miho (CV: Tsuda Minami),Naked Romance,168,2,3,430590
Yorushika,Thoughtcrime,200,4,3,1582234
msy,Amatsu Daisankaku,192,4,3,973931
Sasaki Sayaka,Kiss no Hitotsu de short,175,2,3,228678
ZAQ,Sparkling Daydream,175,3,3,121906
Pastel*Palettes,Shuwarin*Drea~ming,176,2,3,785222
DJ TOTTO,Windy Fairy,180,2,5,613726
SHK,Death Moon II,150,2,5,472158
YOASOBI,Idol,166,5,3,1974238
YOASOBI,Kaibutsu (TV Size),170,5,3,1329156
96,Shining Wizard,158,2,5,55802
Ceui,Haruoto*Veil,180,2,3,1067923
Aida Rikako,for... (TV Size),162,3,3,1051272
Nekomata Master feat. Misawa Aki,chrono diver -fragment-,185,2,3,485962
DJ Fresh (feat. Rita Ora),Hot Right Now (Radio Edit),175,10,2,231114
Knife Party,Bonfire,87,10,2,73576
Feint,We Won't Be Alone (feat. Laura Brehm) (Cut Ver.),175,10,2,1940162
BTS,MIC Drop (Steve Aoki Remix),170,5,6,698526
KK,Hidamari no Uta remake ver.,136,4,3,947162
twenty one pilots,Levitate,186,9,2,1026205
Ohashi Chippoke,"Soliste (Drama ""Saikou no Obahan Nakajima Haruko"" ver.)",180,5,3,1886706
Suzuki Konomi,Love is MY RAIL,163,3,3,480404
Omoi,Totsugeki Zenya no Dance,185,4,3,342030
mimimemeMIMI,CANDY MAGIC,160,3,3,303219
UNISON SQUARE GARDEN,"Catch up, latency (TV Size)",187,3,3,937773
mary x jon-YAKITORY,Koko de Ikiteru (TV Size),190,3,3,1510909
Between August and December,Blow with the Fires,75,2,5,275841
Altria Pendragon (Santa Alter) (CV : Ayako Kawasumi),Jingle Bells,111,2,3,689134
Tomatsu Haruka,Resolution (TV Size),195,3,3,1050419
YOASOBI,Yasashii Suisei (TV Size),90,3,3,1348526
ALI PROJECT,Kyoumu Densen (TV Size),145.1,3,3,43839
Nishimori Yusa(CV.Uchida Maaya),Rakuen made,152,3,3,336241
Owl City & Carly Rae Jepsen,Good Time,126,5,2,100019
miwa,chAngE (TV Size),165,3,3,15257
Afilia Saga,Neptune*Sagashite (TV Size),145,3,3,1047385
TJ Hill,The Owl House Theme Song (TV Size),176,13,5,1757984
Groove Coverage,Poison (Nightcore Mix),168.74,10,2,57984
Nakae Mitsuki,Koiiro no Hanasaku Koro,168,2,3,123694
Teminite,Earthquake,174,10,2,526626
NayutalieN,Perfect Seimei,200,4,3,1009279
Girls' Generation,Gee,200,5,6,430622
Mami Kawada,u/n,184,3,3,638360
"ChiliChill feat. Duo Duo poi, Yan Ning ccccc",To You on The Other Side,125,5,4,1589584
Eve,Kaikai Kitan (TV Size),185,3,3,1690933
Dormir,Une mage blanche,193,2,7,529729
EastNewSound,Eisou Youga ~Meikyou Shisui~,170,2,3,83130
PESS vs t.A.T.u.,All The Things She Said (DnB Remix),180,10,2,73185
Sangatsu no Phantasia,Collage,138,3,3,853833
Renard + Adraen,Physicality,181,10,5,530067
Metrik,We Got It (feat. Rothwell),174,10,2,1522116
kessoku band,Ano Band (TV Size),190,4,3,1905695
Primary,Inai Sekai,250,4,3,560389
yuikonnu,"Natsu no Owari, Koi no Hajimari",186,4,3,897698
44teru-k,F.I,180,2,5,25828
Toyama Kasumi (CV.Aimi),Dokidoki SING OUT!,194,3,3,623515
noctchill,Itsudatte Bokura wa (Cut Ver.),182,2,3,1629450
SawanoHiroyuki[nZk]:mizuki,aLIEz,98.99,3,3,211516
Aso Natsuko,More-more LOVERS!!,182,3,3,1062273
KAKAO FRIENDS,APEACH SPECIAL,119.75,7,6,410935
Suzuki Aina,Hikariiro no Uta,188,5,3,1844548
TORIENA,Chewingood!!!,190,2,3,1693310
LABYRINTHS,Yumeji Labyrinth (TV Size),162,3,3,1611208
Rib,Kisaragi Attention,200,5,3,1039167
B0UNC3,Distorted Reality,149,10,5,12609
xi,Halcyon -Long Version-,191,2,5,557145
Stellamaris,Stage of Star,195,5,3,1717218
Amatsuki,Silhouette,183,3,3,978327
Gero,BELOVEDxSURVIVAL,190,3,3,103342
Renard,Intensive Care Unit (feat. FIAB),200.1,10,5,444699
Eve,Kaikai Kitan,185,5,3,1273536
fhana,Wonder Stella,193,3,3,383242
Spira Spica,Pyramid Daigyakuten,180,5,3,1645708
HyuN,Illusion of Inflict,170,10,5,968923
Demetori,Crimson Belvedere ~ Eastern Dream,165,2,5,107565
Syuiro,Ama no Jaku,200,4,3,39817
nomico,Hoshikaze no Horoscope (TV Size),175,3,3,112166
Thaehan,Help,196,10,5,766939
nano.RIPE,Hana no Iro,180.02,3,3,43472
Ceui,COLORFUL DAYS!! (Cut Ver.),182,2,3,617916
Yuuhei Satellite,Tsuki ni Murakumo Hana ni Kaze,160,2,3,734241
Demetori,Seijouki no Pierrot ~ The MadPiero Laughs,191,2,5,656918
Getty vs. DJ DiA,DropZ-Line-,200,2,5,727049
t+pazolite,Nous,185,10,5,42669
ASCA,Shinkaron,186,2,3,1636204
The Shanghai Restoration Project,Pace of Light,131,5,2,49525
"Satou Rina, Inoue Marina & Chihara Minori",Shiawase High Tension (TV Size),170,3,3,72658
Ogura Yui,Baby Sweet Berry Love (TV Size),170,3,3,89831
P*Light,SAY BAY,165,10,5,750316
Ito Kanako,Uncontrollable (TV Size),210,3,3,659240
Innocent Key,Rabucchu * Chireiden,160,2,3,21733
Renard,Because Maybe! pt. 2,220,10,2,149471
Kagura Mea,Dadadada Tenshi (Cut Ver.),180,5,3,1219143
Alvaro Soler,Sofia (Speed Up Ver.),146.79,5,10,508657
RAMM ni Haiyoru Kuuko-san to Kuune-san,"Sister, Friend, Lover (TV Size)",136,3,3,1206515
Y&Co.,Daisuke,157,2,3,697087
ClariS,Colorful -movie MIX-,178,3,3,127683
Amatsuki,Letters to me (Cut Ver.),190,4,3,1229117
Cascada,Pyromania (Cahill Club Mix),128,10,2,16984
Yin Lin,Lu Gu Xun Meng,90,6,4,927682
Brad Breeck,S2 Trailer Theme,160,3,5,614235
nyankobrq & yaca,twinkle night (feat. somunia),174,10,3,1684705
Ito Kanako,Fates Fall -Kibou no Kage- (Ending Version),180,2,3,1034585
Triple Booking,Yamato Nadeshiko Education (TV Size),172,3,3,21392
Vaundy,CHAINSAW BLOOD,147,4,3,1864555
AliA,Kakurenbo,180,4,3,1666745
Ado,AntiSystem's,190,4,3,1662313
Lil Nas X,MONTERO (Call Me By Your Name) [SATAN'S EXTENDED VERSION],89.5,9,2,1545780
Kano,Ama no Jaku,200,4,3,754383
Sako Tomohisa,Getta Banban (TV Size),167,3,3,1044415
SCREEN mode,ROUGH DIAMONDS (TV Size),190,4,3,1244230
DECO*27,Kisou Honnou feat. Yuuki Aoi,145,4,3,144367
Hanatan,Kokoronashi,84.08,4,3,314460
Zektbach,Kagachi,170,2,5,26500
Sasaki Shiori,Harenohi Step (Soleily Remix),170,2,3,1944121
Sakakibara Yui,Seiken nante Iranai (TV Size),192,3,3,164148
LIP x LIP,Hitsuyou Fukaketsu,185,4,3,730369
Ogura Yui,Future Strike (TV Size),170,3,3,935836
senya,Yureru Koi wa Nami no Gotoku,160,2,3,154056
Suzuki Konomi,CHOIR JAIL,181,3,3,172688
HoneyWorks,Akatsuki Zukuyo,180,4,3,332800
ReoNa,Till the End,178,3,3,1179412
SisterS,Hidamari Days,134,3,3,342893
Memme,Xiao Long Bao,175,10,5,1151330
APG550,NEVERLAND,190,4,3,352489
Dreamtale,The Dawn,79.97,11,5,135972
DECO*27 feat. Topi,Love Distance Long Affair,140,5,3,43409
Printemps,Eien Friends,156,3,3,235836
Camellia,crystallized,174,10,5,399151
KISIDA KYODAN & THE AKEBOSI ROCKETS,GATE~Sore wa Akatsuki no you ni~,200,3,3,480386
Groove Coverage,Holy Virgin (Nightcore Mix),162,10,2,1629782
Matrix & Futurebound feat. Luke Bingham,All I Know (M&F's Rolling Out Radio Mix),174,10,2,1454367
"Wake Up, Girls!",7 Senses,196,3,3,686456
Ayano Mashiro,ideal white,180,3,3,219528
Yousei Teikoku,Torikago,172,5,3,412140
Sayuri,Heikousen,191,3,3,587728
Kawada Mami,No buts!,183,5,3,1885417
Vorovaiki,Devchonka ryjaya,140,5,12,464507
Cascada,Everytime We Touch (Nightcore Mix),174.66,10,2,1912753
HoneyWorks meets TrySail,Senpai. [MOVIE Ver.],162,3,3,624763
Inoue Joe,CLOSER (TV Size),166,3,3,602945
senya,Kimi o Nosete,160,2,3,288997
Aoi Eir,INNOCENCE (TV Size),183,3,3,61401
SCREEN mode,ROUGH DIAMONDS (TV Size),190,3,3,967277
Demetori,Pure Furies ~ Vengeance is Mine,180,2,5,796330
Another Infinity feat. Mayumi Morinaga,kotone,135,5,3,838991
EGOIST,KABANERI OF THE IRON FORTRESS (TV Edit),175,3,3,440897
ISHIDA YOKO,COLORFUL BOX,161,3,3,281071
Demetori,Fall of Fall ~ The Door Into Summer,180,2,5,556206
Freda,Maybe (Tronix DJ Remix) (Nightcore Mix),174,10,2,1691507
"Aoi (CV: Iguchi Yuka), Hinata (CV: Asumi Kana)",Irochigai no Tsubasa (TV Size),87,3,3,1097180
DragonForce,Ashes of the Dawn,180,11,2,786141
Nanahira x Camellia,INFINITI MOFULITY short ver.,180,5,3,705038
ClariS,border (TV Size),178,5,3,1970966
Hatsune Miku & Megpoid Gumi,MATRYOSHKA,205,4,3,19789
void,Sun Goes Down (BMS edit),173,10,5,382413
HyuN feat. YURI,Disorder,193,2,2,1229471
Jeff Williams,This Will Be the Day (feat. Casey Lee Williams),190,3,2,117269
m108,Sunflower,179,10,5,1403962
Petit Rabbit's,Takarabako no Jet Coaster,158,3,3,361679
Rita,Dream Walker,175,10,3,353237
Mili,Rightfully (TV Size),182,3,3,870328
C.I.L. Cafe,Just a fool loves you,171,2,3,377622
Perfume,Laser Beam,135,5,3,106568
yuikonnu & ayaponzu*,Shinde Shimau towa Nasakenai!,174,4,3,710207
Tokoyami Towa,-ERROR,100,4,3,1222831
Helblinde,Grief & Malice,200,10,3,1846720
yuikonnu,Yakimochi no Kotae -another story-,190,4,3,450533
DIALOGUE+,Omoide Shiritori (TV Size),172,5,3,1515089
Halozy,Secret Sister Complex,153,2,3,25463
(K)NoW_NAME,Welcome to Chaos (TV Size),185,3,3,1306479
Kamishiro Ami,MUGEN MIRAI (Short Ver.),139,2,3,47786
Katy Perry,E.T. (Nightcore Mix),188.06,10,2,33761
Manami Numakura,Sakebe,195,3,3,550344
40mP,The Flower of Raison D'etre (Cut Ver.),182,4,3,1316672
Aline Barros,Eu Li Na Biblia (Sped Up & Cut Ver.),184,5,14,1769206
Hana,Sakura no Uta,180,2,3,299403
Suzuki Konomi,CHOIR JAIL (TV Size),181,4,3,1490776
ELISA,ebullient future,145,3,3,33876
AMOYAMO,LET'S GO OUT (TV Size),178,3,3,1743368
angela,Aoi Haru (TV Size),179,3,3,42357
"Polyphia, Will Stetson",Inferno,195,11,2,1292543
Pastel*Palettes,Attsu Atsu Tokonatsu Love*Summer!,172,2,3,1019659
ClariS,with you,160,2,3,138238
Sharlo,Eisou Youga ~Meikyou Shisui~,170,2,3,380740
Iguchi Yuka,Grow Slowly (TV Size),165,3,3,91504
FELT,OUR SHIP,144,2,3,403065
Wix Games,Glacier Theme,100,2,5,492602
IOSYS,Kitto Mou Hatarakanai,145,2,3,41482
KOTOKO,Oboetete Ii yo,178,5,3,1838384
Manami Numakura,Climber's High!,179,3,3,589638
Memme,China Dress,175,10,5,1251070
Kozato snow,Rengetsu Ouka,144.91,2,5,24765
odaxelagnia,#sawg (Wan Bushi Remix),205,10,2,670068
Mind Vortex,Alive,173,10,2,205309
Falcom Sound Team jdk,Inevitable Struggle -demo version-,188,2,5,533680
miwa,Update (TV Size),170,3,3,833053
Red Velvet,Ice Cream Cake,86,5,6,494284
Given,Marutsuke (TV Size),80,3,3,1151806
Dormir,Sayonara Trip,133,2,3,58013
Kotoha,Haru o Tsurete,130,2,3,2017137
Halozy,Shining / STREAM,155,10,3,1713008
K/DA,VILLAIN feat. Madison Beer and Kim Petras,160,5,2,1299924
T.M.Revolution,INVOKE (TV opening version),152,3,3,549719
Tomatsu Haruka,courage,196,3,3,251059
Camellia,Racemization,202,10,5,347765
ZAQ,Caste Room,156,3,3,651755
Kraster,Space Rainbow,182,2,3,54610
Hoshimachi Suisei,Kakero,176,5,3,1518924
EGOIST,The Everlasting Guilty Crown (TV Size),172,3,3,48069
Yiruma & Skullee,River Flows In You (A Love Note),140,6,5,99401
Ohara Yuiko,Zero Centimeter (TV Size),154,3,3,999616
poiss,nostalgia,169,9,14,1494766
Sim Gretina,Crystal Fair (Remix),126,10,2,76649
May'n,Kyou ni Koiiro,170,3,3,425190
HoneyWorks meets mafumafu,Suki to Suki no Houteishiki,170,3,3,576371
Katakiri Rekka,(^3^)chu Dere Rhapsody,168,2,3,51530
Pmarusama.,S'il vous President,176,5,3,1763440
Y&Co.,Daisuke,157,2,2,14774
Kito Akari,Kimi no Tonari de,198,5,3,1298952
Porno Graffitti,Hitori no Yoru (TV Size),174,3,3,1641919
Yousei Teikoku,The Creator,280,4,3,41242
SPYAIR,Imagination (Cut Ver.),204,4,3,1447391
SPYAIR,Genjou Destruction,194,3,3,484981
Yousei Teikoku,Asgard,130,2,3,99090
i.o,Aoiro Step (Cut Ver.),215,5,3,1044953
DJ Mikesh,Be Free (Nightcore Mix),174,10,2,238360
TrySail,High Free Spirits -TV.Ver-,186,3,3,442135
Luis Fonsi,Despacito ft. Daddy Yankee,89,5,10,665562
Sawai Miku,Colorful. (Asterisk DnB Remix),175,3,3,394742
DA PUMP,Magical Babyrinth (TV Size),139,3,3,1071653
Hashimoto Miyuki,New SPARKS! (TV Size),182,3,3,140641
TRUE,Storyteller,192,3,3,1353733
DJ Mashiro,Prismatic Lollipops,202,2,5,179288
Ice Nine Kills,Merry Axe-Mas,175,11,2,1291503
KANA-BOON,Silhouette (TV Size),183,4,3,1073101
Nijigasaki High School Idol Club,Colorful Dreams! Colorful Smiles! (TV Size),185,5,3,1739508
Fidel Wicked,Memories (Do You Remember?),128,10,5,432153
Porter Robinson & Madeon,Shelter (happy30 Remix),200,3,2,527621
"Takamori Natsumi, Sendai Eri, Asakawa Yuu, Tanezaki Atsumi",Ne! Ko!,182,3,3,647383
Air85,I'm so excited (feat. Bobby John) (Cut Ver.),182,10,2,1598671
LeaF,Alice in Misanthrope -Ensei Alice-,172,2,5,588475
Wakeshima Kanon,killy killy JOKER (TV Size),180,3,3,793931
Roselia & Afterglow,MIIRO vs. Ai no Scenario,195,2,3,1035849
Ado,New Genesis,175,5,3,1848011
u's,Sore wa Bokutachi no Kiseki,180,3,3,167252
Mitchie M,Viva Happy,148,5,3,120002
sana,Hisui no Machi,180,4,3,1017483
AKIAKANE,Hanabira,120,4,3,759039
Minato Aqua,#Aquairo Palette,156,5,3,1244542
Suzuta Miyako,one's future -Let's Go Kud! Ver.- (Short Ver.),140,2,3,45503
THE ORAL CIGARETTES,BLACK MEMORY (Cut Ver.),182,4,3,1434327
Nakajima Atsushi (CV: Uemura Yuuto),Namae o Yobu yo (TV Size),82,3,3,1294981
Itou Kanako,fake me (Science Adventure Dance Remix),165,2,3,50322
Lady Gaga,Applause,140,5,2,120704
xi,FREEDOM DiVE,222.22,2,5,39804
yanaginagi,Haru Modoki,174,3,3,300312
Glass Animals,Heat Waves,161.63,5,2,1739361
LiSA,oath sign (TV Size),152,3,3,38885
Hatsune Miku,Rubik's Cube,174,4,3,33651
MindaRyn,Like Flames,175,4,2,1693866
Boom,How Do You Do (Nightcore Mix),166.81,10,2,18729
toby fox,Amalgam,180,10,5,1597321
10lettername,Mario Kart In Detroit,92.5,7,2,1749468
Ryu*,Sakura Mirage (STARLiGHT Mix),187,2,5,765795
Hommarju feat. Latte,masterpiece,180,3,3,12483
Yuki Setsuna (CV: Kusunoki Tomori),CHASE! (Cut Ver.),170,4,3,1271270
Chasers,Lost,170,10,5,151878
Hatsune Miku,Sabamiso!,185,4,3,37705
HoneyWorks feat. Gero,Jakusha no Sengen,185,4,3,643153
THE ORAL CIGARETTES,Monster Effect,186,4,3,1010401
Amatsuki,Kimi Dake wa.,175,5,3,1173774
inabakumori,Lagtrain,147,4,3,1313664
Quynh Nhu,Don Coi,160,5,5,448090
Farhan feat. GUMI,Dandelion,169,2,3,1025776
Zetsubou Shoujotachi,Zetsubou Restaurant (TV Size),150,3,3,255637
Nudarai,Nuclear Fusion,174,2,5,25557
MOMOLAND,BBoom BBoom,126,5,6,725525
FREDERIC,Kanashii Ureshii,142,3,3,635275
tomspicy,fieryrage accordion (hardcore remix),182,10,5,1516867
Mimori Suzuko,Univer Page (TV Size),187,3,3,120635
Ogura Yui,Charming Do! (TV Size),174,3,3,145982
HO-KAGO TEA TIME,"NO, Thank You! (TV Size)",181,3,3,906382
Asriel,Shiroi Yoru Hamon o Utsusu Yami,201,4,3,1396532
Chiyoko,Baby Fantastic! (Short Ver.),180,5,3,1798516
Sangatsu no Phantasia,PINK LEMONADE (TV Size),191,3,3,890173
Kucchi (DARKSIDE APPROACH),Yakumo >>JOINT STRUGGLE (2019 Update),187,2,5,1900429
Nishino Kana,Darling,160,5,3,209810
SYNC.ART'S,Sins -Kokoro no Tsumi-,145,2,3,51605
Sasaki Sayaka,Zzz,154,3,3,32375
Memme,Avalanche,175,2,5,611095
Endorfin.,Utakata no Hi,86,5,3,1042163
"Kagura Mea, Tenjin Kotone",MIRACLE RUSH (Cut Ver.),168,3,3,1661105
supercell,Songs Compilation I,170,5,3,337390
Alakrity,Mighty Morphin Power Rangers,182.1,11,2,1758657
Mayama Rika,Liar Mask anime size,180,3,3,224203
Orangestar,Kimi no Yozora Shoukaihan,185,4,3,480945
amazarashi,Speed and Friction TV Edit,179,3,3,329969
GARNiDELiA,Burning Soul,175,2,3,928947
solfa feat. Shimotsuki Haruka,leap in your mind,105,2,3,911281
senya,Kowareta Unmei o Tsumuide,162,2,3,935811
PSY vs. Perfume,A Gangnam Style Hurly Burly,132,5,6,59000
Junjou no Afilia,Kyuukyoku Unbalance! (TV Size),152,3,3,1121995
AKINO from bless4,MIIRO (TV Size),195,3,3,919925
Kizuna AI,FUCK YOU!,240,4,2,717343
LiSA,Rally Go Round -TV ver.-,190,3,3,301001
Iori Nomizu,Black + White (TV EDIT),192,3,3,419409
sana x HoneyWorks,Terekakushi Shishunki,170,4,3,897711
Haruna Luna,Momoiro Typhoon,167,3,3,916277
Kano,Daisy Blue,184,5,3,758130
Mitsunori Ikeda ft. Aimee B,Fallen Angel (El Poco Maro Remix),176,10,2,36319
ONE OK ROCK,NO SCARED,185,4,3,69779
Zero,Kongou Pak,164.1,2,3,155910
Renard,Blue Night,200,10,2,31333
Eve feat. Hatsune Miku,Gunjou Sanka,168,5,3,1590367
Linkin Park,Guilty All The Same (feat. Rakim),200,4,2,518596
AAAA,Hoshi no Otoshimono,205,10,5,1305045
FELT,Sky Gate,138,2,3,129534
Petit Rabbit's,No Poi!,158,3,3,391817
Dreamcatcher,YOU AND I,194,5,6,901170
sajou no hana,Gray (TV Size),96,3,3,1107257
TUYU,Namikare,204,5,3,1177853
