id,name,ppOld,ppNew,ppDiff,minuteUpdated
16191222,[Paw]ZEidad,7973.96,7784.53,674,28175257
9275130,Waffle-,8332.38,7784.35,-523,28175249
17150996,G-Dragon,8544.13,7784.31,-1341,28175246
18551047,Ceclrium,8202.73,7784.05,-889,28175252
18427225,8man_,8329.07,7784.03,-857,28175249
16431450,Geno-type,8394.8,7784.01,-1515,28175248
11448972,Crekks,8463.48,7783.91,-1069,28175247
10332811,ByeDreamZ,8208.19,7783.25,-647,28175252
665148,sigmadroid,8068.8,7783.23,1001,28175255
26146355,pls enjoy life,8343.39,7783.15,-1696,28175249
5356586,MarvelWizardKH,8245.74,7783.13,-632,28175251
6868738,disconnectome,8262.64,7783.08,-975,28175251
1619961,Marquez,8030.57,7782.82,939,28175256
2543963,Srayne,8331.52,7782.25,-497,28175249
8351538,rnfma6228,8274.2,7782.07,-979,28175250
9697624,t ony,8302.81,7782.04,-477,28175250
11536421,zfr,7989.91,7781.98,946,28175257
15062931,AD_16,8396.34,7781.71,-1166,28175248
12117146,Komi Shouko,8302.22,7781.70,-940,28175250
13448632,Gustcloak,8436.55,7781.23,-1581,28175247
371546,froon,8097.28,7781.08,537,28175255
3632402,LWMF,8298.36,7780.47,-496,28175250
13801406,- Romantic -,8340.14,7780.38,-618,28175249
8805791,Koldmotro,8076.65,7780.35,461,28175255
16612376,nuurd,8281.44,7780.29,-1018,28175250
4484957,translate,8325.79,7780.16,-1070,28175249
7915523,xarrian,8433.3,7779.90,-974,28175247
3747046,Ceoxity,8012.21,7779.90,602,28175256
13380038,Sizumu,8449.98,7779.88,-1197,28175247
12421343,Mommy Despair,8396.34,7779.75,-1479,28175248
13682992,lachevre,8139.56,7779.29,224,28175253
10850389,ironq_,8546.89,7778.98,-1274,28175246
6344590,Fumax,8275.21,7778.93,-467,28175250
2041322,IXnil,8080.26,7778.84,124,28175255
21128167,loob,8012.4,7778.77,69,28175256
13634189,MrLucas,8405.31,7778.59,-1371,28175248
16285664,petano,8211.58,7778.34,-1069,28175252
7978305,rcbury,8243.42,7777.81,-637,28175251
2302140,boyan,8285.09,7777.78,-598,28175250
2018768,Miy,8103.13,7777.57,315,28175254
4033874,Kcalb,8201.74,7777.45,-127,28175252
10273040,Uruha Russia,8145.21,7777.13,-248,28175253
8747500,Rathe,8119.18,7776.82,213,28175254
2309545,adoragirl,8181.56,7776.81,-406,28175252
9685116,ion,8349.58,7776.65,-777,28175249
26207051,Seyfer,8451.76,7776.52,-1315,28175247
11577217,IsoPaska,8387.37,7776.41,-1232,28175248
6755332,Nokie-,8194.92,7776.08,-1180,28175252
14399558,rahx,8513.46,7775.99,-1704,28175246
16783559,Capine,8481.2,7775.94,-1863,28175247
12074524,Plave,8405.29,7775.65,-1637,28175248
13455003,solutionflap,8333.39,7775.58,-1538,28175249
10341139,Pawel_,8441.55,7775.53,-1321,28175247
9107542,[-YuiYui-],8135.82,7775.52,-90,28175254
8365502,r1sel,8063.34,7775.32,626,28175255
10750980,Thryssa,8336.21,7775.17,-840,28175249
6176928,OldnessAss,8261.62,7775.13,-195,28175251
5937253,StaroaX,8071.76,7774.70,308,28175255
7383794,Suudo,8355.88,7774.20,-694,28175249
3162076,fooooooood,7957.31,7774.18,1105,28175258
10193978,CrisZR,8384.02,7774.16,-1093,28175248
4777134,Jeffrey,8137.06,7774.16,-24,28175253
7104176,Toriko,8400.44,7773.83,-1079,28175248
16345119,raccoonlover9,8249.1,7773.57,-1138,28175251
4155034,jykyyyy,8269.17,7772.96,-236,28175250
6337309,Smolcio,8046.93,7772.96,127,28175256
14844019,21 Shunpo,8080.11,7772.91,188,28175255
10673933,Scorpion,8354.64,7772.82,-1153,28175249
3524138,Lyneyra,8224.48,7772.75,-392,28175251
9852966,epimetheus,8012.24,7772.49,0,28175256
14187700,Foxalyst,8341.12,7772.13,-1515,28175249
5150169,Misery-_-,8160.92,7771.90,-397,28175253
3509110,Nellox2000,8057.37,7771.63,251,28175255
1275758,Dark PHOENIX,8255.54,7771.48,161,28175251
12347221,funnder,8607.08,7771.46,-1562,28175245
14629532,hudcoomdue,8339.42,7771.35,-1442,28175249
18159713,Aarlis,8544.58,7771.29,-1399,28175246
8335721,_jeff,8308.62,7770.80,-1460,28175250
18271627,grillroasted,8566.11,7770.63,-2009,28175245
13484422,iVapeWindex,8424.04,7770.60,-956,28175248
21692963,Anihoes,8364.77,7770.47,-1646,28175249
5432650,MrBlueVoid,8178.15,7769.81,-528,28175252
4362050,Stingrays,8428.88,7769.77,-1330,28175247
6851793,Idylla,8177.51,7769.66,-164,28175252
5724467,goust566,8186.32,7769.38,-594,28175252
11452852,FLDR,8059.64,7769.35,-597,28175255
8669198,BabyChickenPL,8037.58,7769.34,-50,28175256
14299935,Miraijk,8302.53,7768.88,-1105,28175250
20511154,-Zyon-,7909.76,7768.76,-15,28175259
5394550,MTW,8349.05,7768.72,-703,28175249
12969177,zTays,8190.58,7768.15,-987,28175252
11280215,Creamey,8256.24,7768.14,-1165,28175251
2276847,Amane-,8292.41,7767.76,-444,28175250
6566515,Minkasy,8457.17,7767.65,-863,28175247
14455763,TripDaWhip,8559.26,7767.54,-1885,28175245
4321578,Muge0108,7971.47,7767.11,559,28175257
5377178,Minorsonek,8249.96,7767.07,-144,28175251
18923358,Floppy2121,8405.63,7766.60,-1374,28175248
9266182,NamuiDesu,8275.99,7766.54,-688,28175250
19287060,ldk_Erica,8233.6,7766.53,-269,28175251
10696501,Worsl,8211.22,7766.30,-500,28175252
5843837,Sey10,8241.6,7766.21,-842,28175251
3759172,Onii Chan,8021.02,7766.11,612,28175256
16499645,fxwha,8457.75,7766.04,-1850,28175247
13322498,77r77r,8377.47,7765.96,-1224,28175248
17688489,pr0xladno,8443.09,7765.83,-1349,28175247
9634394,PES PATRON,8031.55,7765.75,390,28175256
3411877,Ultimatum,8091.83,7765.72,-26,28175255
18617305,wohnmagie,8354.87,7765.34,-1126,28175249
12537412,dexas,8386.63,7765.30,-1389,28175248
14504308,cyrosiax,8251.69,7764.98,-1064,28175251
1331470,SoyateK,8493.31,7764.45,-1195,28175246
2850104,m t g,8472.42,7764.40,-1583,28175247
16104885,F E D Y A,8194.74,7763.58,-1409,28175252
18535928,DooDooDoesTheDo,8177.35,7763.40,-1219,28175252
3774028,freshcoconut,7983.06,7763.15,91,28175257
20726353,JonusBonus,8350.18,7762.99,-1240,28175249
18321104,Xootynaytor,8294.18,7762.58,-997,28175250
29873531,Honeybox,8246.15,7762.53,-999,28175251
6145243,Rosiu,7961.39,7762.42,1084,28175258
12045415,Redbirdkai,8231.34,7762.08,-562,28175251
2015300,verto,8212.09,7762.08,-268,28175252
12201636,rety,8380.71,7762.06,-389,28175248
11237996,Desire Blue sky,8269.96,7761.66,-881,28175250
20963631,Dumb-Andy,8192.66,7761.59,-871,28175252
11456940,deceptive,8481.23,7761.57,-1341,28175247
15350401,IAMSILLYJACK,8061.98,7761.47,-80,28175255
10361007,Arutairu,8240.5,7761.30,-84,28175251
9728244,brissul,8108.46,7761.25,255,28175254
5907911,Ichinose Rika,8071.93,7761.04,-330,28175255
8815368,Mogeko,8448.67,7760.96,-1138,28175247
5236032,Toko Inui,8437.71,7760.94,-1040,28175247
10634940,Wonderful Shiro,8242.97,7760.70,-764,28175251
4135257,Little Sister,8147.33,7760.32,420,28175253
19384155,szoszimo-50,8074.04,7759.55,-700,28175255
7980502,SilverOfTheMoon,8305.56,7759.52,-690,28175250
2471107,Hakyume,7913.83,7759.51,849,28175259
17251758,SchuettiFan,8038.09,7759.49,-261,28175256
12935494,Furkoq,8665.96,7759.39,-1465,28175244
18928540,ShellyKing,8245.34,7759.12,-1125,28175251
17073008,Akatsuki owo,8397.29,7758.92,-1353,28175248
8040494,Randomguruz,8396.78,7758.70,-1245,28175248
13422215,V1ert,8419.88,7758.35,-1374,28175248
5008386,danielPro,8053.4,7758.21,675,28175255
19605558,fancy bro dude,8565.79,7758.18,-1833,28175245
9014551,asrh123,8077.81,7758.16,-28,28175255
28593667,gholam,8371,7757.96,-678,28175249
9049102,Yukiri,8452.68,7757.84,-1065,28175247
10886314,Snorlax,8412.02,7757.84,-1504,28175248
9991392,Ramilla,8212.28,7757.52,-537,28175252
4771851,AG89,8153.58,7757.50,-866,28175253
6918298,Clivery_V,8001.84,7756.50,306,28175257
14291963,FatFartingCow,8287.75,7756.29,-801,28175250
16832578,MrPolik,8194.9,7756.11,-484,28175252
17441950,KC BlaZy,8245.44,7755.26,-939,28175251
8386533,Ze_Lord999,8193.99,7755.12,-713,28175252
11416040,[ Kangurek ],8050.87,7754.95,-1278,28175256
16138333,HonigFNA,8307.81,7754.79,-604,28175250
3897320,nagato555,8352.15,7754.35,-986,28175249
6393689,KisieK_old,8272.98,7754.17,-1206,28175250
6199962,-Mouse Button-,8538.84,7754.12,-1556,28175246
18068748,SprlSllt,8492,7754.08,-1490,28175246
629091,Kana,8243.69,7753.77,-996,28175251
10670873,Remilo,8088.86,7753.68,-194,28175255
1750812,SenTIA,8054.51,7753.54,-287,28175255
12795089,kotetsu-,8375.64,7753.43,-967,28175248
13482119,ByBye,8315.16,7753.20,-937,28175250
5431868,fanatka_index-a,8313.19,7753.18,-430,28175250
22262791,mjwbecome,8127.79,7753.17,-447,28175254
14699839,Unicorn Desu,8172.58,7752.94,-612,28175253
12281151,Mihail223,8506.8,7752.77,-1385,28175246
15641344,-Aiba-,8050.3,7752.76,-249,28175256
8886396,Loozy,8163.14,7752.43,-79,28175253
9501845,kirei_,8124.28,7752.24,-115,28175254
17196487,alice nakiri,8344.67,7752.17,-1313,28175249
11527057,Twig583,8145.59,7752.06,-446,28175253
7149122,Karanos,8268.52,7751.89,-103,28175250
5187671,SatoReika,8314.65,7751.66,-792,28175250
10953457,Cookiazi,8303.96,7751.64,-826,28175250
3769249,[ Rianyang ],8032.27,7751.56,308,28175256
20734702,cfunkyy,8384.92,7751.51,-1772,28175248
16149159,hippocripp,8392.65,7751.43,-1260,28175248
9259452,puma,8056.65,7751.16,-531,28175255
7903774,CookieEaters,8342.72,7750.94,-1404,28175249
7263047,King Hong,7950.54,7750.49,448,28175258
13578963,mmmwop,8266.36,7750.32,-1257,28175251
9247399,Heartstrings,8243.14,7750.14,-684,28175251
9388779,_terka,8201.43,7750.07,-817,28175252
6359527,Rubin-,8156.46,7750.07,-952,28175253
23123025,ninomae,8200.04,7749.55,-552,28175252
15021904,Sauce Cake,7971.62,7749.30,376,28175257
12804664,Leo_beo,8183.94,7749.22,-308,28175252
16895743,cyber_clownn,8504.84,7749.08,-1683,28175246
13589562,Viyy,8048.2,7748.96,455,28175256
17878144,Zyuben,8453.11,7748.70,-1517,28175247
8940228,onion ring,8074.06,7748.54,17,28175255
29013676,sealslays,8127.18,7748.53,-614,28175254
5989479,Stian,8363.89,7748.33,-661,28175249
7754055,Miyashita Ai,8226.23,7747.69,-506,28175251
11627501,a4g0wez,8239.8,7747.06,-1089,28175251
24868424,WhiteDoable,8273.31,7746.24,-1522,28175250
13716488,dt_gamesplays,8113.37,7746.04,215,28175254
15761373,twaiszy,8294.69,7746.02,-491,28175250
7919913,Afireee,8014.28,7745.90,446,28175256
8533686,-Lisette-,8063.02,7745.72,-39,28175255
2174403,Just_A_M0nk,8047.72,7745.50,337,28175256
6234836,nicas,8462.14,7745.27,-869,28175247
14671860,Parasit,8349.28,7744.99,-849,28175249
13696682,Azz,8274.53,7744.94,-768,28175250
3667125,Rebanto,8246.14,7744.77,-622,28175251
11443973,Cpt Crown,8160.07,7744.40,-584,28175253
11398814,FiXww,8022.9,7744.17,-1,28175256
19641527,Amber397,8045.65,7744.12,447,28175256
14629934,Schribble,8279.45,7744.09,-1092,28175250
10605491,Yosuzuw,8396.4,7743.84,-882,28175248
16215618,chupacabra-1,8282.44,7743.81,-592,28175250
9383377,Snowpoint,8426.29,7743.56,-849,28175248
7306251,Chromasia,8355.23,7743.48,-1442,28175249
1027645,- Asriel -,8131.21,7743.37,-29,28175254
15096190,bigmuscleman,8534.28,7743.25,-1851,28175246
12618889,squartatrice_,8252.58,7742.90,-734,28175251
14811725,Rayark514,8189.5,7742.86,-384,28175252
14157577,boss4490,8319.58,7742.46,-608,28175249
15783504,CjWrecks,8105.04,7742.32,-762,28175254
15951274,_ruffles,8297.89,7742.30,-1209,28175250
4887938,thexo,8175.02,7742.30,159,28175253
2784663,Yumbtah,8003.43,7742.26,164,28175257
12003612,rqcist,8228.86,7742.05,-1362,28175251
15349293,nobol,8167.28,7741.94,-1343,28175253
13902231,zachboi,8310.68,7741.85,-1206,28175250
11155146,ikasu,8144.71,7741.51,-26,28175253
10053076,_tenza,8333.57,7740.71,-1440,28175249
3086393,n0ah,8135.33,7740.63,-282,28175254
9913021,Deathless,8338.88,7740.60,-995,28175249
19778889,D1ddles,8317.62,7740.52,-826,28175249
8009520,IamCheeses,8175.7,7740.51,-590,28175253
4871378,Braixen,8068.14,7740.48,74,28175255
17323045,androowen,8095.98,7740.44,-934,28175255
17717052,Falk UwU,8467.94,7740.37,-1812,28175247
1596946,Marisa Kirisame,8376.07,7740.09,-1022,28175248
8026102,Nohitmaa,8272.88,7739.87,-771,28175250
13717099,uyaz,8101.88,7739.85,-713,28175254
11202591,-Kyo-,8332.06,7739.80,-642,28175249
9035207,Nicoru Otone,8185.02,7739.37,-560,28175252
17325741,bsuch83,8218.34,7739.17,-575,28175252
7416569,Nokamu,8429.84,7739.10,-1214,28175247
20558070,Merky,8450.87,7739.04,-1645,28175247
11262034,Exxxxx,8283.26,7738.86,-1272,28175250
4135509,Brunows11,8272.87,7738.78,-482,28175250
14346344,Technofan,8102.36,7738.65,-84,28175254
11745515,Dovekei,8321.63,7738.48,-1037,28175249
10997010,Crowleey,8177.21,7738.19,-246,28175252
9778767,- Danyo-,8382.42,7737.47,-1636,28175248
20865203,Kaylify,8180.52,7737.31,-846,28175252
4294741,bjbmw,8105.07,7737.08,-170,28175254
10775859,Haassy,8366.7,7736.56,-1646,28175249
4096563,Hopeful,8339.74,7736.56,-1336,28175249
10710324,Yhju90,8193.79,7736.31,-592,28175252
4370557,monome,7924.66,7736.10,672,28175258
18751796,WDWDWDD,8253.53,7735.83,-642,28175251
15762494,ilikeyuri,8504.74,7735.69,-1347,28175246
11538581,Detori,8427.27,7735.63,-1013,28175247
15253040,over,8097.04,7735.52,337,28175255
8399891,Xylmen,8402.33,7735.46,-1204,28175248
10493775,Delix,8156.46,7735.13,-659,28175253
12188796,AggeIos,8210,7735.08,-553,28175252
11119798,Tsus71,7970.23,7735.06,724,28175257
13197547,remiv,8221.88,7735.05,-680,28175252
6733027,Alicial,8248.35,7735.01,-1169,28175251
12305377,nyaku,8171.18,7734.49,-45,28175253
12563077,02171,8284.43,7734.32,-1137,28175250
7431496,Gotoh Hitori,8217.41,7734.32,-233,28175252
16529875,Wanderio,8268.14,7734.26,-1266,28175250
6259946,Wexaazys,8179.7,7734.08,-684,28175252
12638442,iamoneofthegods,8578.73,7734.03,-1340,28175245
1418425,cubelrti,8015.07,7733.97,127,28175256
11914897,TSIKI,8407.09,7733.82,-1687,28175248
18013166,GACHI69,8387.85,7733.73,-2015,28175248
15885448,Riqochet,8290.63,7733.68,-1256,28175250
7522902,daddy_daniel,8119.41,7733.55,-466,28175254
8759213,Kagure,8253.64,7733.52,-577,28175251
15399469,Blarrz,8235.43,7733.49,-1150,28175251
1604056,Melodia,8276.1,7732.66,47,28175250
11570146,Konos,8216.92,7732.42,-836,28175252
12154561,Aestas,8334.47,7732.31,-1116,28175249
18628006,xek,8295.28,7732.19,-1109,28175250
16161470,mpismila,8249.35,7732.13,-930,28175251
10699814,Abelia-,8204.31,7732.12,-305,28175252
11683408,Angel_Fish,7998.25,7732.11,413,28175257
8033383,Xtralis,8207.68,7732.10,-269,28175252
7127113,Foxe,8106.15,7731.70,-1193,28175254
8611631,Fairy Tail,8265.43,7731.48,-843,28175251
2767208,Tomaatti,8302.85,7731.46,-186,28175250
17435820,Vadan,8120.63,7731.03,-1280,28175254
6906968,yukiyato,8435.91,7730.77,-1157,28175247
14487712,Fiftyppee,8471.39,7730.48,-1232,28175247
5639725,Doryoku,8152.3,7730.16,-670,28175253
11516061,Keyend,8296.53,7730.06,-815,28175250
3596296,Tohru,8081.66,7730.03,21,28175255
2844779,boterham,7934.64,7729.82,588,28175258
6482555,Droplitz,8089.63,7729.79,-21,28175255
5399122,[ Vitor ],8307.65,7729.75,-702,28175250
14391984,Shiwa,8406.99,7729.72,-1504,28175248
5104591,Miraiki,8119.61,7729.59,-14,28175254
4960191,NPJn00bs,8060.98,7729.51,-286,28175255
9847671,sojoin,8476.04,7729.37,-1453,28175247
4560592,NoGari,8152.03,7729.28,-607,28175253
3703793,EvanSimp2011,7940.07,7728.58,598,28175258
8644604,jdfs,8332.73,7728.04,-969,28175249
20580510,rinaruji,8382.19,7728.00,-1310,28175248
19387050,-Nearly-,8166.42,7727.72,-785,28175253
22006011,KoffeeJelly,8134.71,7727.56,-360,28175254
3607337,Phoebe Yu,8392.78,7727.29,-913,28175248
6935996,Gildz,8275.7,7727.09,-848,28175250
10918400,Dockedcolt,8056.11,7727.09,160,28175255
7509103,Nezol,8060.8,7726.30,-163,28175255
19960340,[ Mayumi ],8344.26,7725.86,-1074,28175249
6703171,Aube,8176.92,7725.68,-90,28175253
9979877,-Stocking,8277.42,7725.62,-1151,28175250
15437128,- Magicky -,8255.78,7725.27,-973,28175251
12275487,Virma,8365.01,7724.99,-1248,28175249
3199927,twofor199,8242.03,7724.93,-433,28175251
14324460,sulamg,8516.62,7724.77,-1864,28175246
16197406,XxOrbitxX,8347.91,7724.39,-843,28175249
5764169,Moewagon,8289.78,7724.31,-880,28175250
4855610,- Flamy Ice -,8126.36,7724.31,-282,28175254
9985201,Noob PheVat,8514.44,7724.07,-1598,28175246
2036268,D non,8241.31,7724.07,-618,28175251
8736217,Daduch,8244.86,7724.04,-472,28175251
2074297,Hurrikn,8154.8,7723.88,206,28175253
13780339,GurraGEEEE,8153.04,7723.43,-730,28175253
6260584,PekoraMyBeloved,8306.42,7723.34,-745,28175250
19253068,-gosu,8221.11,7723.33,-1099,28175252
12579577,Rain Dropped,8378.78,7723.30,-590,28175248
4592814,Lexbalker,7909.85,7723.12,1077,28175259
13005943,Majke1,8205.66,7722.87,-1246,28175252
15865259,kacperguwno,8394.52,7722.75,-1100,28175248
14121149,-Hotline-,8211.57,7722.58,-759,28175252
7404253,[HellCake],8221.45,7722.55,-594,28175252
10722016,m_iqbal_21,8296.36,7722.45,-909,28175250
8420023,Can Never FC,7986.52,7722.03,210,28175257
18507655,hayuza,8324.91,7721.65,-1563,28175249
10136279,-Lemonyyyy-,8197.11,7721.63,-364,28175252
15960090,marty916,8540.01,7721.27,-1656,28175246
10212581,Xicyte,8034.55,7721.22,672,28175256
13292664,NanoiteX,7949.46,7720.81,388,28175258
10456858,DeadAliveZ,8343.29,7720.63,-1248,28175249
4535883,WHchild,7951.93,7720.56,744,28175258
4250196,Nararino_,8208.78,7720.37,-1321,28175252
7000209,bieganie,8326.02,7720.11,-1013,28175249
11312816,Ens0rcell,8427.51,7720.09,-1272,28175247
9024130,undozs,8492.07,7719.99,-1893,28175246
4439947,d-v,8240.32,7719.75,-1171,28175251
4521899,Mouun,8121.06,7719.38,-214,28175254
16994138,Milos_179,8109.54,7719.25,-284,28175254
15283111,zercy7,8319.54,7719.10,-1076,28175249
10860292,plebfi,8203.54,7718.99,-770,28175252
19951508,zitn,8365.92,7718.92,-1493,28175249
2630538,JTttk,8023.52,7718.56,562,28175256
6469536,Une Banane,8082.28,7717.83,188,28175255
4439343,Empax,8179.02,7717.76,-417,28175252
4569594,Insidiouss,8276.63,7717.68,-426,28175250
2507187,WhiteAries,8208.71,7717.41,-835,28175252
5772165,Bios,8315.77,7717.10,-1028,28175250
4073754,nat,8255.31,7717.07,-507,28175251
4811420,thac,8158.11,7716.46,371,28175253
6810671,dawerte,8090.11,7716.29,-748,28175255
19084209,Lysao_,8347.51,7716.04,-1629,28175249
