m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
0,739982,601.75,109.31,3837,4K Hyper,332130,199,3.56,109893,66566,403248,4
0,1900585,600.23,412.02,295,Black Another,910843,123,6.15,36459,33998,435810,7
0,1101044,595.95,198.1,2045,LeiN-'s SC,518266,271,4.55,64095,57214,412562,4
0,3684026,570.5,541.59,78,Resplendency,1797184,376,6.88,11400,3884,465897,4
256,532796,567.89,195.95,2045,Extra,228853,129,5.8,301430,71073,398703,4
0,1034385,566.36,132.2,3262,Another Kabaneri,484996,235,3.93,158324,56153,413651,4
0,694150,564.92,61.81,5221,ADVANCED Lv.12,310607,108,2.94,823248,65835,403943,4
0,708663,563.89,143.45,2994,MX,318207,186,3.9,130381,68992,400886,4
0,3401628,562.79,216.94,1637,FAMoss' Extra,1664904,164,4.72,10437,7648,462129,4
0,719310,562.66,83.92,5057,4K Hyper+,187154,110,3.29,416718,69394,400454,4
0,1170750,561.53,227.17,1460,Maximum,552868,239,4.84,65763,40596,429484,4
0,1445892,560.44,78.5,5425,riu's MX,682518,29,3.13,221958,42344,427482,4
0,2208429,557.24,113.7,3701,Insane Vampire,636160,151,3.64,60219,30609,439329,4
0,1152537,547.67,130.42,3262,MXLove,543830,94,4.08,238914,55563,414231,4
0,2553755,546.07,143.84,2994,Inferno,1228135,199,4.28,55316,23510,446295,4
0,2130092,541.59,122.97,3365,Insane,1017769,128,3.68,53513,23774,446002,4
0,767310,538.15,73.68,5637,Standard Lv.16,347779,148,3.18,324480,69379,400406,4
0,1017254,531.35,75.61,5425,Avalon's ADVANCED!!,476221,113,3.22,470691,60596,409363,4
0,888022,530.6,75.86,5425,puxtu's HD,409025,247,3,114365,63858,405918,4
0,2116184,526.53,69.24,5546,Hard,1010916,88,3.12,102307,23669,446107,4
0,674460,525.82,198.06,2045,Nyarathon,300721,417,4.4,99224,71561,398216,4
0,1875136,525.23,92.96,4348,Hyper,897547,135,3.44,78912,35723,434125,4
0,678396,523.91,136.19,3010,Owari,302693,342,3.87,185487,72153,397623,4
0,1017257,518.19,143.85,2994,DECADE's GRAVITY!!,476221,113,4.18,173914,60596,409363,4
0,774837,509.73,243.77,1215,Extra,351320,119,5.13,200828,68348,401516,4
0,1017266,509.24,195.29,2045,SY's UNCENSORED!!,476221,113,4.49,181170,60596,409363,4
0,720556,508.02,119.88,3365,DECADE's 4K Lv.20,324288,110,3.68,344124,68269,401640,4
0,674176,505.57,186.25,2138,EXHAUST,300599,115,4.49,173322,69108,400804,4
0,767311,505.28,173.31,2468,Starry's Another Lv.29,347779,148,4.6,197473,69379,400406,4
0,2847100,504.66,234.47,1403,Beyond,1377628,139,4.78,51787,18045,451589,4
0,2358150,504.31,220.92,1576,Expert,1128753,122,4.64,47173,22968,446846,4
0,1294900,502.87,347.48,442,Wasteland Predator,613792,244,5.68,77392,52617,417159,4
0,720562,498.64,74.03,5637,Starry's 4K Lv.15,324288,110,3.12,696689,68269,401640,4
0,3525702,491.07,276.03,817,Eternal White | Extra,1683685,133,5.57,48010,10499,459278,4
0,1217803,490.51,278.74,817,11.186 km/s,575053,327,5.28,115990,53884,415951,4
0,1214526,481.56,351.77,396,Ultra,573280,181,5.69,70083,47135,422642,4
0,1850935,479.87,75.98,5425,Hyper,885596,141,3.18,140913,35244,434605,4
0,1716670,477.7,98.64,4190,Hard,818752,194,3.41,77328,39403,430457,4
0,2056752,477.44,88.5,4697,Hyper,981053,127,3.33,129069,32607,437605,4
0,1469009,477.04,95.21,4190,MX,694349,96,3.67,128835,46672,423278,4
0,1620589,474.92,130.4,3262,Expert,770829,93,3.93,82251,44816,424995,4
0,2912700,462.31,240.48,1215,Fantaisie Impromptu,1413062,268,4.86,26194,17505,452272,4
0,1231251,458.84,80.32,5057,Hyper,581729,186,3.25,138375,45382,424408,4
0,484669,458.81,235.63,1282,DECADE vs. Usagi's INFINITE Lv.16,200552,115,4.83,199474,73141,396648,4
0,421063,458.41,174.29,2468,MX,174381,236,4.38,294151,78257,391519,4
0,476823,448.27,83.39,5057,ADVANCED Lv.14,200552,115,3.35,680372,73141,396648,4
0,2138515,447.93,157.57,2708,Sweet Witch,1022130,118,4.35,86517,32816,436961,4
0,2651800,444.35,162.12,2644,Insane,1276332,130,4.3,28543,18226,451607,4
0,747621,443.49,256.73,942,SHD,318207,186,5.05,78783,68992,400886,4
0,1636836,441.88,190.27,2105,Leggendaria,779472,133,4.42,44406,34280,435497,4
0,687322,440.26,177.76,2333,EXHAUST,307175,116,4.38,122655,70472,399322,7
0,823842,438.2,390.74,290,GEOLOGICAL//IRRESOLUTION,376293,412,5.96,66624,62996,406820,4
0,1175036,433.94,190.6,2105,Insane,555076,250,4.48,122656,54421,415355,4
0,2082653,432.49,175.85,2333,Insane,995539,236,4.34,36594,33415,436364,4
0,511075,431.35,167.62,2531,EXHAUST Lv.15,217951,114,4.32,98482,62288,407590,4
0,1686019,430.37,159.44,2708,Vespere [MX],803279,144,4.15,73512,41368,428578,4
0,3179013,429.42,240.26,1215,Proboscidea,1556170,226,4.96,21127,14935,454841,4
0,421066,425.85,540.17,78,Wafles' SHD,174381,236,6.76,148388,78257,391519,4
0,1001780,423.9,430.93,240,Eternal,468353,114,6.37,103154,57074,412757,4
0,1964176,423.9,143.95,2994,Insane,913114,161,3.87,90252,36039,433750,4
0,4010632,418.5,598.77,46,G.R.A.nd T.erminuS.,1939761,297,7.28,4956,2344,467504,4
0,843707,414.58,69.9,5637,Insane,386415,140,3.17,428761,64165,405614,4
0,2636602,411.41,180.06,2291,E-TERNITY,1268688,331,4.35,15473,17539,452237,4
64,3616430,407.82,847.14,7,Every END is a new BEGINNING,1766740,127,6.58,21548,4436,465197,4
0,2781454,407.76,184.55,2138,4K Bass,1342805,260,4.46,7496,9058,460735,4
0,1477406,407.69,96.15,4190,Spy.K's Hyper,351126,124,3.35,64161,48075,421710,4
0,2305677,406.91,73.87,5637,Hard,1103524,228,3.1,68871,23849,445786,4
0,2409176,405.6,145.83,2864,RAVE'S INSANE,1154007,144,3.96,55409,25620,444173,4
0,1243559,404.34,472.51,164,HEAVENLY,587269,117,6.47,121851,51347,418521,4
0,862667,404.29,160.43,2644,1's Another,381397,150,4.16,100090,63983,405795,4
0,1848678,401.96,227.5,1460,Madness,884441,227,4.76,39960,38544,431246,4
0,1253218,401.12,253.55,1066,Lunatic,592272,149,5.07,81279,37432,432302,4
0,927048,400.86,83.16,5057,ADVANCED,429664,109,3.24,254494,61759,408017,4
0,789825,400.17,71.16,5637,Avalon's ADVANCED,359196,118,3.05,472831,68038,401808,4
0,646605,400,118.44,3715,MX,286411,141,3.61,109608,72242,397584,4
0,736929,399.42,99.89,3983,HD+,318207,186,3.38,219493,68992,400886,4
0,2446750,392.32,198.46,2045,Lunatic,1173144,220,4.44,42030,25770,444008,4
0,1869524,390.77,153.12,2788,Sayaka vs. Sya's Insane,894666,151,4.24,40973,23359,446608,4
256,3886726,390.27,1202.91,4,Abyssal Overlord,1887426,290,11.2,3372,3687,466143,7
256,1001780,384.06,261.79,943,Eternal,468353,114,6.37,103154,57074,412757,4
0,1872626,383.06,115.98,3715,Avalon's Insane,896302,140,3.7,49802,17623,452176,4
0,2968556,381.83,143.47,2994,Eternity,1443164,88,4.19,43707,17294,452482,4
0,965345,381.71,152.56,2788,Muu's Another,448188,108,3.96,65310,60913,408874,4
0,1288460,381.44,114,3701,Fontes' Insane,552868,237,3.75,75267,40596,429484,4
0,1048201,380.03,119.97,3365,Zan's EXHAUST,491454,120,3.88,120795,60161,409675,4
0,1595158,377.83,114.53,3715,Madoka's Hyper,513701,179,3.66,54522,42587,427595,4
0,825238,376.48,169,2531,INFINITE,377004,115,4.34,145044,58077,411706,4
0,793515,376.44,71.6,5637,4K Insane,361117,217,3.05,142290,51028,418809,4
0,2608350,365.61,81.21,5057,Hard,1255066,237,3.34,32091,16449,453610,4
0,2810330,364.69,117.73,3715,KASHIMA,1357994,115,3.8,36229,21641,448136,4
0,2071816,364.54,75.47,5425,Hard,934974,209,3.03,139842,33003,436773,4
0,360804,363.53,62.32,5221,S.Star's 4K ADVANCED,134829,117,2.92,555499,81853,387951,4
0,772148,363.31,89.88,4348,Maximum,350207,142,3.39,98684,65125,404701,4
0,3012110,363.14,201.41,1864,Cosmos,1466713,273,4.64,37894,17845,451939,4
0,2598323,361.87,291.18,694,Universe,1103580,258,5.37,49872,22137,447706,4
0,2241880,360.68,145.31,2864,Insane,1071024,122,4.28,61875,27067,442630,4
0,927052,351.24,160.48,2644,Rinzler's EXHAUST,429664,109,4.24,141628,61759,408017,4
0,495898,346.8,91.51,4348,Ic's 4K HD,208095,234,3.33,139986,74813,394963,4
0,1698594,346.13,339.13,453,Negligence,808872,139,5.59,48004,24158,445844,4
64,2149349,344.77,588.28,44,Party,1027900,195,5.17,66761,11581,458197,4
0,836662,342.98,156.31,2708,4K GRAVITY Lv.14,382403,110,4.15,80843,59935,410122,4
0,1122856,339.46,92.69,4348,Wonki's 4K Hyper,529574,135,3.38,251498,53813,415991,4
0,968643,338.21,136.42,3010,MX 'Coolest',451567,87,3.93,127774,61625,408207,4
0,2624441,337.74,148.67,2864,Grotesque Lullaby,1262661,268,4.02,32397,15159,454642,4
0,590575,336.51,160.9,2644,EXHAUST,258121,109,4.25,130303,69018,401043,4
0,1969732,334.16,140.55,2994,Create Your Adventure,866848,87,3.97,43713,27610,442228,4
0,2062536,332.69,216.25,1637,FAMoss' Insane,919633,246,4.78,69327,34576,435109,4
0,3955540,331.5,131.84,3262,INS4NE // FLOCCULUS,1916684,232,3.83,7665,3329,467025,4
0,1408345,331.18,172.99,2468,Disconcerting,665463,301,4.42,80253,51368,418489,4
0,1092806,328.44,165.67,2531,Juvu's EXHAUST,514461,118,4.23,105624,50709,419124,4
0,2536733,326.05,312.02,560,JAZZ,1219293,106,5.6,53578,14771,455008,4
0,893899,324.67,314,560,Shana's Extra,386950,242,5.41,70514,58795,411003,4
0,951988,323.89,69.38,5546,Beauty,442691,214,3.1,131178,61547,408230,4
0,3197055,323.06,110.23,3701,Hard,1429714,232,3.6,18241,13101,456755,4
0,1480021,322.62,86.69,4697,MX,698840,88,3.37,36639,43042,426805,4
0,1175035,322.12,77.9,5425,Hard,555076,250,3.2,244204,54421,415355,4
0,513323,320.21,85.11,4697,EXH,195390,109,3.3,243096,74124,395656,4
0,2241879,319.09,96.39,4190,Hyper,1071024,122,3.37,74061,27067,442630,4
0,2021258,319.01,105.92,3837,Girls*Talk,957917,87,3.69,76185,32138,437647,4
0,770129,318.84,446.12,172,Shirou's EXTRA,349208,126,6.33,138146,62697,407125,4
0,1933877,315.58,292.93,694,Christina,925325,267,5.25,33264,26417,443241,4
0,1207642,313.66,125.45,3374,4K Expert,569665,87,3.73,59284,54617,415159,4
0,2862391,313.19,145.86,2864,Mental Fight,1385621,224,3.99,17818,20224,449554,4
