id,name,ppOld,ppNew,ppDiff,minuteUpdated
23852316,boyfrienXD,2330.59,2267.28,463,28176715
2189910,takenashi,2350.05,2267.19,603,28176714
8372034,StrafeCombo_,2465.87,2266.92,300,28176713
13957006,aiq,2276.04,2266.87,215,28176716
9382288,-]Sin[-,2336.5,2266.13,137,28176715
7961647,Rachel32,2402.3,2266.08,503,28176714
4353648,BlekoChan,2242.44,2266.08,568,28176716
563422,Tan104,2299.91,2265.87,542,28176715
4236198,FacuGamer,2369.35,2265.13,355,28176714
22324914,RonnyFronny,2327.18,2264.35,195,28176715
1917468,360huh,2383.25,2264.05,543,28176714
8046460,Partycarft30,2379.72,2264.03,17,28176714
832084,Neta,2295.07,2263.79,123,28176715
12155599,Fumatsu 5,2258.74,2263.63,472,28176716
3932190,Aikyuu-Chan,2403.56,2263.56,396,28176714
11458941,UnicornChicken,2381.39,2262.56,267,28176714
1686763,robyyua,2309.64,2262.27,671,28176715
9115563,Felani,2435.84,2261.73,-11,28176713
9325390,CHanzy,2336.02,2261.19,149,28176715
7118479,EliseLove,2383.13,2260.87,240,28176714
31390187,Tv-SSize-,2240.78,2260.87,365,28176716
21781609,RanYakumo777,2346.97,2260.86,104,28176714
8500721,Flethea,2355.33,2260.61,271,28176714
12594455,iMiharu,2271.28,2260.54,436,28176716
15502818,3JIou coHuk,2325.64,2260.41,153,28176715
930474,RANCHO,2425.39,2259.93,303,28176713
4016412,Pessego,2503.79,2259.89,202,28176712
6121960,Kaibutsu-san,2423.86,2259.52,341,28176713
20693875,V-X,2317.45,2259.52,397,28176715
10685905,SrLacia,2334.33,2259.48,6,28176715
17470196,ChoiJinyoung,2265.83,2259.39,375,28176716
5039382,Tralkke,2356.86,2259.35,88,28176714
21695594,FREAK ART1ST,2327.28,2259.18,626,28176715
4438175,Doble-,2299.12,2259.06,449,28176715
10166023,KatashiOver,2308.49,2258.97,333,28176715
2071781,Xyno,2357.51,2258.94,113,28176714
20128248,Zephfi,2207.94,2258.69,447,28176717
10703718,Arumie,2357.83,2258.58,388,28176714
1968590,Akashi,2415.74,2258.15,536,28176713
4639617,Wuxo,2427.1,2257.91,411,28176713
7163353,TheAnonGirl,2317.61,2257.72,345,28176715
1929899,P3RXG,2490.81,2257.71,69,28176713
1164931,Alepat,2387.56,2257.57,421,28176714
11054918,Vildox,2302.28,2257.54,343,28176715
18567639,lemon grenade,2190.03,2257.18,507,28176717
5044069,maromalo,2318.43,2257.13,289,28176715
6472042,DeltaZero,2338.6,2256.72,106,28176715
16112526,WiZarD-,2373.92,2256.64,55,28176714
1527403,Lyoko Lash,2278.76,2256.45,591,28176715
19089549,salym,2261.46,2256.27,336,28176716
1856014,Aline Mitiru,2366.36,2256.17,175,28176714
349699,Zam,2425.92,2255.42,542,28176713
5041295,Taschenrechner,2377.32,2255.25,764,28176714
9890989,Officer Jarpis,2342.8,2255.18,31,28176714
22834225,ShortStack496,2274.14,2255.05,200,28176716
16467434,Pengyo,2385.32,2254.89,72,28176714
12651513,-SinSuerte73-,2294.55,2254.58,640,28176715
13211236,VarvalianFanboy,2362.47,2254.54,3,28176714
2999752,TinnyPuppy,2361.63,2254.36,679,28176714
7407817,SmoothCat,2446.33,2254.26,64,28176713
8885610,Totally_Dragon,2435.26,2253.94,114,28176713
22154675,zaxch,2334.62,2253.69,82,28176715
11494095,Chiyu16,2332.26,2253.47,528,28176715
8900366,MyniMyxii,2505.6,2253.45,72,28176712
11304610,GooKill31,2361.54,2253.37,263,28176714
1194491,DipArms,2253.65,2253.12,557,28176716
3163495,TNGStorM,2269.06,2252.60,278,28176716
3122948,Ignite,2305.47,2252.54,231,28176715
6281494,someone_blind,2287.16,2252.51,390,28176715
11200141,PsyDucknator,2436.75,2252.48,253,28176713
2926623,[ L i n a ],2376.12,2252.43,-2,28176714
31544899,_end,2178.38,2252.43,361,28176717
9878668,Nobunashi,2378.44,2251.82,264,28176714
628780,Aleksart,2518.45,2251.49,652,28176712
8312363,Spz_Clown,2232.96,2251.40,573,28176716
8613652,AlinaKokoro,2298.52,2251.36,425,28176715
34024698,SeaXea,2325.42,2250.90,366,28176715
10170825,Cangry OP,2395.15,2250.68,450,28176714
3865677,Ark,2292.92,2250.53,482,28176715
6858097,Bantalope,2366.26,2250.44,75,28176714
13882572,Falling Sun,2384.36,2250.34,-53,28176714
200355,gnsl6500,2234.99,2250.22,434,28176716
6306641,JustARandomGuy,2332.69,2250.08,372,28176715
18104822,Vie Dange,2190.93,2250.08,600,28176717
11469447,Arbusion,2301.81,2249.84,39,28176715
11724605,TheBesto12,2286.97,2249.81,162,28176715
6149313,Pata-Mon,2400.16,2249.68,129,28176714
15458758,Foxizz,2408.78,2249.60,99,28176713
12437071,Rivenlogy,2313.86,2249.09,304,28176715
3492705,sables,2267.01,2248.77,476,28176716
2107044,Flandoll,2391.15,2248.46,133,28176714
1878915,tennyecho,2325.27,2248.34,466,28176715
2255998,iNold,2283.96,2248.15,736,28176715
19451126,maximeow,2338.45,2248.02,39,28176715
15089402,spencer1404,2341.49,2248.00,9,28176715
14717458,silikah,2351.55,2247.96,522,28176714
9848490,--Tesla--,2292.04,2247.66,398,28176715
12145765,SpoonWasHere,2212.66,2247.53,342,28176717
6938690,ZodiaKLeo,2338.13,2247.24,-18,28176715
18025320,MihashiRenRen99,2256.14,2247.17,469,28176716
829125,Dibbbz,2377.36,2247.15,719,28176714
